Weapon_Artillery_ThumperCannon_0-STOCK,Weapon,1,3
Weapon_Artillery_SniperCannon_0-STOCK,Weapon,1,2
Weapon_Artillery_LongTomCannon_0-STOCK,Weapon,1,1
itemCollection_Upgrades_TargetingComputers,Reference,1,5
Weapon_LRM_ELRM5_0-STOCK,Weapon,1,5
Weapon_LRM_ELRM5_1-Achernar,Weapon,1,2
Weapon_LRM_ELRM5_2-Achernar,Weapon,1,1
Weapon_LRM_ELRM10_0-STOCK,Weapon,1,5
Weapon_LRM_ELRM10_1-Achernar,Weapon,1,2
Weapon_LRM_ELRM10_2-Achernar,Weapon,1,1
Weapon_LRM_ELRM15_0-STOCK,Weapon,1,5
Weapon_LRM_ELRM15_1-Achernar,Weapon,1,2
Weapon_LRM_ELRM15_2-Achernar,Weapon,1,1
Weapon_LRM_ELRM20_0-STOCK,Weapon,1,5
Weapon_LRM_ELRM20_1-Achernar,Weapon,1,2
Weapon_LRM_ELRM20_2-Achernar,Weapon,1,1
Gear_Addon_PPCCapacitor,Upgrade,1,10
Weapon_AMS_Laser,Weapon,1,5
Gear_Blue_Shield,Upgrade,1,5
