SnordsVehicles,,,,,,,,,
Collection:SLRoyalVehicles,0,Jump:3038-01-01T00:00:00Z,125,,125,,105,,82
Collection:SteinerVehicles,850,Jump:3038-01-01T00:00:00Z,0,,0,,0,,0
Collection:MercenariesVehicles,150,Jump:3038-01-01T00:00:00Z,0,,0,,0,,0
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3049-01-01T00:00:00Z,,3058-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_SPRINT_TRANSPORT,0,,0,,0,3055-01-01T00:00:00Z,4,,8
vehicledef_SPRINT,0,,0,,0,3055-01-01T00:00:00Z,11,,27
vehicledef_SPRINT_C3,0,,0,,0,3056-01-01T00:00:00Z,2,,8
vehicledef_APC_Hover,16,,13,,16,,15,,20
vehicledef_APC_Hover_MG,5,,4,,5,,6,,8
vehicledef_KARNOV,31,,27,,26,,22,,12
vehicledef_APC_Hover_SRM,5,,4,,5,,6,,8
vehicledef_APC_Tracked,31,,31,,31,,32,,35
vehicledef_KARNOV_3055,0,,0,,0,3055-01-01T00:00:00Z,4,,12
vehicledef_APC_Tracked_MG,5,,4,,5,,6,,8
vehicledef_APC_Wheeled,21,,22,,21,,22,,24
vehicledef_APC_Tracked_SRM,10,,9,,10,,11,,12
vehicledef_APC_Wheeled_MG,5,,9,,10,,9,,8
vehicledef_APC_Wheeled_SRM,5,,9,,10,,9,,8
vehicledef_APC_HeavyHover,31,,27,,31,,30,,31
vehicledef_APC_HeavyWheeled,42,,40,,42,,43,,47
vehicledef_HOVERSCOUT,5,,9,,10,,9,,8
vehicledef_APC_Hover_LRM,5,,4,,5,,4,,4
vehicledef_APC_Wheeled_LRM,5,,4,,5,,4,,4
vehicledef_WINTERHAWK,0,,0,,0,,0,3059-01-01T00:00:00Z,20
vehicledef_APC_HeavyTracked,42,,40,,42,,43,,47
vehicledef_APC_Tracked_LRM,5,,4,,5,,4,,4
vehicledef_APC_HeavyWheeled_MG,21,,22,,21,,22,,24
vehicledef_APC_HeavyHover_MG,16,,13,,16,,15,,16
vehicledef_SPRINT_LASER,0,,0,,0,3055-01-01T00:00:00Z,4,,8
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,4,,5,,2,,4
vehicledef_APC_HeavyTracked_MG,21,,22,,21,,22,,24
vehicledef_BLIZZARD_SRM,0,,0,,0,,0,3061-01-01T00:00:00Z,12
vehicledef_CENTIPEDE,0,,0,,0,3055-01-01T00:00:00Z,15,,16
vehicledef_BLIZZARD,0,,0,,0,3055-01-01T00:00:00Z,15,,24
vehicledef_WARRIOR_H-7A,16,,13,,16,,13,,0
vehicledef_PACKRAT_ICE,5,,4,,5,,4,,0
vehicledef_WARRIOR_H-7,21,,22,,21,,19,,8
vehicledef_SCORPION,89,,85,,63,,45,,8
vehicledef_GALLEON_GAL-100,42,,45,,37,,24,,8
vehicledef_SKULKER,16,,18,,16,,9,,8
vehicledef_PEGASUS_UA,10,,4,,5,,2,,4
vehicledef_SKULKER_SRM,5,,4,,5,,2,,4
vehicledef_SCORPION_ML,21,,22,,16,,11,,12
vehicledef_PACKRAT_PKR-T5,16,,18,,37,,39,,0
vehicledef_PEREGRINE,16,,0,,0,,0,,0
vehicledef_GALLEON_GAL-200,0,,0,3049-01-01T00:00:00Z,5,,4,,8
vehicledef_HARASSER_Mini-Peggy,0,3028-01-01T00:00:00Z,4,,5,,4,,0
vehicledef_HARASSER_FLAMER,5,,4,,5,,4,,4
vehicledef_SCORPION_SRM,42,,45,,31,,22,,24
vehicledef_SCORPION_MRM,0,,0,,0,,0,3060-01-01T00:00:00Z,16
vehicledef_BADGER-F,0,,0,,0,3058-01-01T00:00:00Z,2,,4
vehicledef_HARASSER,26,,36,,37,,37,,4
vehicledef_WARRIOR_H-8,0,,0,,0,3055-01-01T00:00:00Z,6,,43
vehicledef_SCORPION_LRM,21,,22,,16,,11,,12
vehicledef_BADGER-B,0,,0,3049-01-01T00:00:00Z,5,,4,,4
vehicledef_CENTIPEDE_SRM,0,,0,,0,,0,3062-01-01T00:00:00Z,4
vehicledef_JEdgar_ICE,5,,4,,5,,4,,0
vehicledef_BADGER-E,0,,0,3049-01-01T00:00:00Z,5,,4,,4
vehicledef_MANTIS,0,,0,,0,,0,3061-01-01T00:00:00Z,20
vehicledef_BADGER-A,0,,0,3049-01-01T00:00:00Z,5,,4,,4
vehicledef_WARRIOR_H-7C,5,,9,,5,,6,,0
vehicledef_BADGER-C,0,,0,3049-01-01T00:00:00Z,5,,4,,4
vehicledef_JEdgar_Flamer,5,,4,,5,,4,,0
vehicledef_BLIZZARD_BLACK,0,,0,,0,,0,3067-01-01T00:00:00Z,4
vehicledef_JEdgar_MG,5,,4,,5,,4,,0
vehicledef_CAVALRY_LRM,0,,0,,0,3055-01-01T00:00:00Z,4,,4
vehicledef_HAWKMOTH,0,,0,,0,,0,3060-01-01T00:00:00Z,16
vehicledef_CAVALRY_TAG,0,,0,,0,3058-01-01T00:00:00Z,2,,4
vehicledef_KARNOV_BA,0,,0,,0,,0,3062-01-01T00:00:00Z,4
vehicledef_HAWKMOTH_ARMOR,0,,0,,0,,0,3060-01-01T00:00:00Z,8
vehicledef_CAVALRY,0,,0,,0,3054-01-01T00:00:00Z,11,,8
vehicledef_CAVALRY_SRM,0,,0,,0,3055-01-01T00:00:00Z,4,,4
vehicledef_SCIMITAR,37,,54,,58,,56,,4
vehicledef_BADGER-D,0,,0,3049-01-01T00:00:00Z,5,,4,,4
vehicledef_JEdgar,16,,18,,16,,11,,0
vehicledef_BADGER-PRIME,0,,0,3049-01-01T00:00:00Z,5,,4,,4
vehicledef_KARNOV_AC,0,3039-01-01T00:00:00Z,4,,5,,4,,4
vehicledef_JEdgar_TAG,0,,0,,0,3052-01-01T00:00:00Z,9,,0
vehicledef_STRIKER,10,,9,,10,,9,,4
vehicledef_PEGASUS_SENSORS,10,,9,,5,,2,,4
vehicledef_STRIKER_SRM,5,,4,,5,,2,,0
vehicledef_SALADIN_ARMOR,10,,9,,10,,6,,0
vehicledef_SALADIN,47,,54,,52,,56,,16
