ComStar,,,,,,,
,,,,,,,
Collection:SLRoyal,166,,166,,127,,111
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dates,3025-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z
Lights,,,,,,,
mechdef_celerity_CLR-02-X-D,0,,0,3052-01-01T00:00:00Z,13,,11
mechdef_stinger_STG-3R,19,,13,,8,,4
mechdef_wasp_WSP-1A,28,,28,Jump:3052-05-20T00:00:00Z,19,,18
mechdef_jackrabbit_JKR-8T,19,,27,Jump:3055-01-01T00:00:00Z,0,,0
mechdef_locust_LCT-1V,31,,20,,17,,7
mechdef_stinger_STG-5M,0,,0,3052-06-01T00:00:00Z,21,,30
mechdef_cossack_C-SK1,0,,0,,0,3061-01-01T00:00:00Z,9
mechdef_mercury_MCY-97,0,3049-01-01T00:00:00Z,18,Jump:3052-05-20T00:00:00Z,39,,47
mechdef_ostscout_OTT-7K,0,,0,3052-06-01T00:00:00Z,21,,30
mechdef_locust_LCT-3V,6,,7,,4,,4
mechdef_raptor_RTX-OD,0,,0,3052-06-01T00:00:00Z,11,,17
mechdef_stinger_STG-3G,6,,7,,4,,3
mechdef_urbanmech_UM-R60,19,,13,,8,,4
mechdef_locust_LCT-3M,0,3050-01-01T00:00:00Z,13,,13,,14
mechdef_urbanmech_UM-R63,0,3050-01-01T00:00:00Z,3,,5,,8
mechdef_thorn_THE-N,85,,85,Jump:3052-05-20T00:00:00Z,59,,14
mechdef_locust_LCT-1E,6,,13,,8,,5
mechdef_mercury_MCY-99,43,,43,Jump:3052-05-20T00:00:00Z,30,,26
mechdef_javelin_JVN-10N,25,,27,,30,,29
mechdef_ostscout_OTT-7J,43,,43,Jump:3052-05-20T00:00:00Z,30,,26
mechdef_raptor_RTX-OE,0,,0,,0,3058-01-01T00:00:00Z,9
mechdef_falcon_FLC-4N,64,,64,Jump:3052-05-20T00:00:00Z,44,,40
mechdef_hussar_HSR-400-D,0,,0,3052-01-01T00:00:00Z,34,,41
mechdef_raptor_RTX-OB,0,,0,3052-06-01T00:00:00Z,11,,17
mechdef_jackrabbit_JKR-9R,19,,27,Jump:3055-01-01T00:00:00Z,0,,0
mechdef_spider_SDR-5V,43,,43,Jump:3052-05-20T00:00:00Z,30,,26
mechdef_hussar_HSR-200-D,43,,43,Jump:3052-05-20T00:00:00Z,30,,26
mechdef_nexus_NXS1-A,0,,0,3054-1-01T00:00:00Z,92,,84
mechdef_owens_OW-1D,0,,0,3056-11-01T00:00:00Z,2,,14
mechdef_thorn_THE-N1,0,,0,3051-01-01T00:00:00Z,48,,65
mechdef_tarantula_ZPH-1,0,,0,3055-01-01T00:00:00Z,34,,17
mechdef_owens_OW-1A,0,,0,3056-11-01T00:00:00Z,2,,14
mechdef_firestarter_FS9-H,30,,30,Jump:3052-05-20T00:00:00Z,21,,18
mechdef_hermes_HER-1S,17,,17,Jump:3052-05-20T00:00:00Z,12,,11
mechdef_raptor_RTX-O,0,,0,3052-06-01T00:00:00Z,19,,31
mechdef_tarantula_ZPH-2A,0,,0,,0,3060-01-01T00:00:00Z,6
mechdef_owens_OW-1B,0,,0,3056-11-01T00:00:00Z,2,,14
mechdef_firestarter_FS9-S,0,,0,3052-06-01T00:00:00Z,26,,38
mechdef_mongoose_MON-66,200,,200,Jump:3052-05-20T00:00:00Z,103,,87
mechdef_panther_PNT-9R,19,,20,,21,,21
mechdef_firestarter_FS9-A,17,,17,Jump:3052-05-20T00:00:00Z,12,,11
mechdef_raptor_RTX-OA,0,,0,3052-06-01T00:00:00Z,11,,17
mechdef_firefly_FFL-3A,85,,85,Jump:3052-05-20T00:00:00Z,59,,52
mechdef_venom_SDR-9K,0,3050-01-01T00:00:00Z,15,,21,,30
mechdef_firefly_FFL-4C,0,3048-01-01T00:00:00Z,131,,92,,84
mechdef_wasp_WSP-105,38,,40,Jump:3052-05-20T00:00:00Z,0,,0
mechdef_firestarter_FS9-S1,0,,0,3052-06-01T00:00:00Z,16,,22
mechdef_owens_OW-1E,0,,0,,0,3060-01-01T00:00:00Z,3
mechdef_javelin_JVN-10F,6,,7,,4,,5
mechdef_owens_OW-1,0,,0,3056-11-01T00:00:00Z,5,,20
mechdef_scarabus_SCB-9A,0,,0,3053-01-01T00:00:00Z,12,,21
mechdef_raptor_RTX-OC,0,,0,3052-06-01T00:00:00Z,11,,17
mechdef_jenner_JR7-D,19,,20,,30,,29
mechdef_stingerlam_STG-A10,6,,7,Jump:3052-05-20T00:00:00Z,0,,0
mechdef_jackal_JA-KL-1532,0,,0,3052-01-01T00:00:00Z,15,,24
mechdef_hitman_HM-1,0,,0,3055-01-01T00:00:00Z,6,,15
mechdef_owens_OW-1C,0,,0,3056-11-01T00:00:00Z,2,,14
mechdef_hussar_HSR-500-D,0,,0,,0,3060-01-01T00:00:00Z,7
mechdef_nighthawk_NTK-2Q,85,,85,Jump:3052-05-20T00:00:00Z,59,,52
mechdef_hermes_HER-4S,0,,0,3056-11-01T00:00:00Z,3,,12
mechdef_raptor_RTX-OF,0,,0,,0,3060-01-01T00:00:00Z,3
mechdef_falconhawk_FNHK-9K,0,,0,3057-01-01T00:00:00Z,13,,15
mechdef_falconhawk_FNHK-9K1A,0,,0,3057-01-01T00:00:00Z,23,,36
mechdef_stinger_STG-A5,19,,20,Jump:3052-05-20T00:00:00Z,0,,0
mechdef_talon_TLN-5V,200,,200,Jump:3052-05-20T00:00:00Z,139,,131
mechdef_spector_SPR-5F,0,,0,3053-01-01T00:00:00Z,15,,27
mechdef_owens_OW-1R,0,,0,,0,3059-01-01T00:00:00Z,1
mechdef_raptor_RTX1-OR,0,,0,,0,3059-01-01T00:00:00Z,1
Mediums,,,,,,,
mechdef_vulcan_VL-2T,9,,11,,11,,15
mechdef_cicada_CDA-2A,23,,23,Jump:3052-05-20T00:00:00Z,16,,14
mechdef_sentinel_STN-3L,57,,57,Jump:3052-05-20T00:00:00Z,40,,35
mechdef_assassin_ASN-21,12,,13,,22,,21
mechdef_clint_CLNT-2-3T,12,,11,,7,,5
mechdef_cicada_CDA-3M,0,,0,3052-06-01T00:00:00Z,13,,20
mechdef_whitworth_WTH-2,0,3050-01-01T00:00:00Z,4,,29,,40
mechdef_vulcan_VL-5T,2,,3,,4,,4
mechdef_centurion_CN9-A,7,,5,,4,,0
mechdef_centurion_CN9-AH,2,,3,,4,,0
mechdef_blackjack_BJ-1,12,,11,,11,,10
mechdef_firestarter_FS9-OA,0,,0,3057-01-01T00:00:00Z,6,,10
mechdef_whitworth_WTH-1,57,,57,Jump:3052-05-20T00:00:00Z,40,,35
mechdef_trebuchet_TBT-5S,0,,0,3052-06-01T00:00:00Z,13,,20
mechdef_hoplite_HOP-4C,57,,57,Jump:3052-05-20T00:00:00Z,40,,35
mechdef_firestarter_FS9-OE,0,,0,,0,3058-01-01T00:00:00Z,8
mechdef_wyvern_WVE-6N,0,,0,3052-06-01T00:00:00Z,30,,50
mechdef_firestarter_FS9-OC,0,,0,3057-01-01T00:00:00Z,6,,10
mechdef_scorpion_SCP-1N,12,,5,,4,,7
mechdef_hunchback_HBK-4G,57,,57,Jump:3052-05-20T00:00:00Z,40,,35
mechdef_hunchback_HBK-5N,0,,0,3057-01-01T00:00:00Z,12,,20
mechdef_phoenixhawk_PXH-1,86,,86,Jump:3052-05-20T00:00:00Z,60,,52
mechdef_hunchback_HBK-4SP,2,,3,,4,,2
mechdef_hunchback_HBK-5M,0,3050-01-01T00:00:00Z,7,,10,,6
mechdef_centurion_CN9-AL,2,,3,,4,,0
mechdef_shadowhawk_SHD-2H,86,,86,Jump:3052-05-20T00:00:00Z,60,,52
mechdef_hunchback_HBK-4H,2,,3,,4,,3
mechdef_wyvern_WVE-9N,0,,0,3052-01-01T00:00:00Z,36,,63
mechdef_firestarter_FS9-OB,0,,0,3057-01-01T00:00:00Z,6,,10
mechdef_clint_CLNT-2-3U,0,3050-01-01T00:00:00Z,8,,11,,20
mechdef_hunchback_HBK-4N,2,,3,,4,,3
mechdef_wyvern_WVE-5N,57,,57,Jump:3052-05-20T00:00:00Z,40,,35
mechdef_scorpion_SCP-1O,0,3049-01-01T00:00:00Z,11,,22,,16
mechdef_wolverine_WVR-6R,86,,86,Jump:3052-05-20T00:00:00Z,60,,52
mechdef_hunchback_HBK-4P,2,,3,,4,,3
mechdef_crab_CRB-20,16,,19,,18,,6
mechdef_hunchback_HBK-4J,2,,3,,4,,3
mechdef_firestarter_FS9-O,0,,0,3052-06-01T00:00:00Z,13,,20
mechdef_phoenixhawk_PXH-2,23,,23,Jump:3052-05-20T00:00:00Z,16,,14
mechdef_dervish_DV-6M,114,,114,Jump:3052-05-20T00:00:00Z,79,,70
mechdef_blackjack_BJ-2,0,,0,3052-06-01T00:00:00Z,13,,20
mechdef_kintaro_KTO-19,114,,114,Jump:3052-05-20T00:00:00Z,79,,70
mechdef_tessen_TSN-1C,0,,0,,0,3061-01-01T00:00:00Z,49
