MagistracyOfCanopusVehicles,,,,,,,,,
Salvage:LiaoVehicles,8,Jump:3030-09-11T00:00:00Z,26,,0,,0,,0
Salvage:MarikVehicles,42,Jump:3030-09-11T00:00:00Z,24,,50,,50,,50
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3049-01-01T00:00:00Z,,3058-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_FERRET,31,,44,,44,,32,,28
vehicledef_SWIFTWIND,0,,0,,0,3058-01-01T00:00:00Z,7,,12
vehicledef_SWIFTWIND_ICE,0,,0,,0,3058-01-01T00:00:00Z,2,,3
vehicledef_APC_Hover,8,,10,,5,,20,,22
vehicledef_APC_Hover_MG,4,,5,,5,,7,,9
vehicledef_KARNOV,23,,19,,22,,22,,19
vehicledef_APC_Hover_SRM,8,,10,,5,,10,,12
vehicledef_APC_Tracked,66,,58,,66,,55,,65
vehicledef_KARNOV_3055,0,,0,,0,,0,3059-01-01T00:00:00Z,6
vehicledef_APC_Tracked_MG,8,,10,,5,,7,,9
vehicledef_APC_Wheeled,47,,44,,44,,37,,46
vehicledef_APC_Tracked_SRM,12,,10,,11,,12,,15
vehicledef_APC_Wheeled_MG,8,,10,,5,,10,,12
vehicledef_APC_Wheeled_SRM,8,,10,,5,,12,,15
vehicledef_APC_HeavyHover,16,,15,,16,,17,,22
vehicledef_APC_HeavyWheeled,23,,19,,22,,25,,28
vehicledef_HOVERSCOUT,8,,10,,5,,7,,9
vehicledef_APC_Hover_LRM,4,,5,,5,,7,,9
vehicledef_APC_Wheeled_LRM,4,,5,,5,,5,,6
vehicledef_APC_HeavyTracked,23,,19,,22,,25,,28
vehicledef_APC_Tracked_LRM,4,,5,,5,,7,,9
vehicledef_MAULTIER,0,,0,,0,3058-01-01T00:00:00Z,17,,40
vehicledef_APC_HeavyWheeled_MG,12,,10,,11,,12,,15
vehicledef_APC_HeavyHover_MG,8,,10,,11,,7,,9
vehicledef_APC_HeavyTracked_MG,12,,10,,11,,12,,15
vehicledef_APC_HeavyWheeled_SRM,8,,5,,5,,5,,6
vehicledef_BLIZZARD_SRM,0,,0,,0,,0,3061-01-01T00:00:00Z,12
vehicledef_APC_HeavyWheeled_LRM,4,,5,,5,,5,,6
vehicledef_APC_HeavyTracked_SRM,8,,5,,5,,5,,6
vehicledef_APC_HeavyHover_SRM,4,,5,,5,,5,,6
vehicledef_APC_HeavyTracked_LRM,4,,5,,5,,5,,6
vehicledef_BLIZZARD,0,,0,,0,3055-01-01T00:00:00Z,17,,25
vehicledef_APC_HeavyHover_LRM,4,,5,,5,,2,,3
vehicledef_WARRIOR_H-7A,16,,15,,16,,15,,9
vehicledef_PACKRAT_ICE,8,,10,,11,,15,,3
vehicledef_WARRIOR_H-7,23,,19,,22,,20,,12
vehicledef_SCORPION,93,,83,,66,,47,,19
vehicledef_GALLEON_GAL-100,39,,34,,33,,22,,15
