SnowRavenVehicles,,,,,,,,,
Collection:DiamondSharkVehicles,11,,10,,7,,7,,20
Collection:GhostBearVehicles,0,,0,,0,,0,,0
Collection:HellsHorsesVehicles,4,,3,,2,,2,,25
Collection:JadeFalconVehicles,14,,17,,24,,24,,20
Collection:NovaCatVehicles,36,,34,,24,,24,Jump:3060-07-01T00:00:00Z,0
Collection:SmokeJaguarVehicles,4,,3,,2,,2,Jump:3060-04-21T00:00:00Z,0
Collection:SteelViperVehicles,7,,7,,17,,17,,10
Collection:WolfVehicles,25,,24,,24,,24,,25
Dates,3049-01-01T00:00:00Z,,3055-01-01T00:00:00Z,,3058-01-01T00:00:00Z,,3060-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_KESTREL_CLAN,27,,27,,29,,23,,23
vehicledef_MAULTIER,110,,110,,95,,94,,96
vehicledef_RIPPER_ROYAL,80,,80,,95,,68,,68
vehicledef_NIGHTSHADE,27,,27,,34,,34,,34
vehicledef_BADGER_C-E,0,,0,,0,,0,3061-01-01T00:00:00Z,1
vehicledef_BADGER_C-A,3,,3,,3,,3,,1
vehicledef_SHAMASH,13,,13,,14,,14,,16
vehicledef_BADGER_C-D,3,,3,,3,,3,,1
vehicledef_LIGHTNING,106,,106,,89,,91,,91
vehicledef_BADGER_C-H,0,,0,,0,,0,3061-01-01T00:00:00Z,1
vehicledef_BADGER_C-C,3,,3,,3,,3,,1
vehicledef_BADGER_C-B,3,,3,,3,,3,,1
vehicledef_ZORYA,83,,83,,89,,99,,102
vehicledef_ZORYA_AMMO,20,,20,,23,,26,,25
vehicledef_BADGER_C-PRIME,3,,3,,3,,3,,1
vehicledef_NIGHTSHADE_ROYAL,27,,27,,34,,34,,34
vehicledef_LIGHTNING_ROYAL,209,,209,,178,,179,,181
vehicledef_MITHRAS,37,,37,,40,,31,,23
vehicledef_ODIN,27,,27,,29,,31,,31
vehicledef_SVANTOVIT,13,,13,,14,,11,,13
vehicledef_ANHUR,37,,37,,40,,43,,44
vehicledef_SVANTOVIT_ORIGINAL,3,,3,,3,,3,,4
vehicledef_INDRA,27,,27,,29,,31,,31
vehicledef_DONAR,50,,50,,54,,63,,64
vehicledef_ASSHUR,17,,17,,20,,23,,23
vehicledef_ASSHUR_RECON,73,,73,,77,,88,,90
Mediums,,,,,,,,,
vehicledef_PROWLER,83,,82,,95,,88,,89
vehicledef_PROWLER_ECM,9,,9,,17,,21,,22
vehicledef_ZEPHYR_ROYAL,509,,509,,454,,441,,439
vehicledef_THOR_CLAN,79,,77,,72,,79,,72
vehicledef_BANDIT_C-E,0,,0,,0,,0,3061-01-01T00:00:00Z,3
vehicledef_BANDIT_C-PRIME,9,,9,,6,,6,,3
vehicledef_KU,106,,109,,104,,109,,100
vehicledef_BANDIT_C-D,5,,5,,6,,3,,3
vehicledef_BANDIT_C-A,5,,5,,6,,3,,3
vehicledef_MAXIM_CLAN,0,,0,3058-01-01T00:00:00Z,52,,55,,36
vehicledef_ARES,106,,109,,104,,109,,100
vehicledef_BANDIT_C-B,5,,5,,6,,3,,3
vehicledef_BANDIT_C-H,0,,0,,0,,0,3061-01-01T00:00:00Z,3
vehicledef_BANDIT_C-C,5,,5,,6,,3,,3
vehicledef_HACHIMAN,79,,77,,72,,79,,72
vehicledef_ENYO,0,,0,,0,,0,3063-01-01T00:00:00Z,50
Heavies,,,,,,,,,
vehicledef_PIKE_CLAN,0,3055-01-01T00:00:00Z,68,,72,,76,,75
vehicledef_DEMON,340,,341,,321,,352,,354
vehicledef_ORO,228,,191,,202,,212,,213
vehicledef_KOKOU,56,,45,,52,,55,,52
vehicledef_DEMON_ROYAL,242,,241,,228,,176,,177
vehicledef_ISHTAR,56,,45,,52,,55,,52
vehicledef_ATHENA,79,,68,,72,,76,,75
Assaults,,,,,,,,,
vehicledef_HUITZILOPOCHTLI,149,,151,,127,,133,,121
vehicledef_FURY_ROYAL,88,,91,,116,,88,,88
vehicledef_MORRIGU_LASER,0,,0,,0,,0,3067-01-01T00:00:00Z,10
vehicledef_PUMA_PAT-005b,363,,361,,327,,348,,350
vehicledef_DEMOLISHER_CLAN,0,,0,3058-01-01T00:00:00Z,90,,94,,85
vehicledef_RHINO_ROYAL,98,,96,,87,,70,,72
vehicledef_MORRIGU,0,,0,,0,,0,3067-01-01T00:00:00Z,33
vehicledef_MARS_ATM,0,,0,,0,,0,3064-01-01T00:00:00Z,62
vehicledef_MARS,302,,301,,254,,267,,180
