ValkyrateVehicles,,,,,,,,,
Salvage:SteinerVehicles,83,,71,Jump:3049-08-01T00:00:00Z,0,,0,,0
Salvage:OberonVehicles,17,,29,Jump:3049-08-01T00:00:00Z,0,,0,,0
Dates,3028-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3049-01-01T00:00:00Z,,3058-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_FERRET,33,,44,,46,,32,,33
vehicledef_APC_Hover,11,,6,,6,,6,,13
vehicledef_APC_Hover_MG,6,,6,,6,,6,,7
vehicledef_KARNOV,17,,17,,17,,25,,20
vehicledef_APC_Hover_SRM,11,,6,,6,,6,,13
vehicledef_APC_Tracked,72,,67,,69,,70,,86
vehicledef_KARNOV_3055,0,,0,,0,,0,3059-01-01T00:00:00Z,7
vehicledef_APC_Tracked_MG,6,,6,,6,,6,,13
vehicledef_APC_Wheeled,50,,44,,46,,51,,60
vehicledef_APC_Tracked_SRM,11,,6,,6,,13,,13
vehicledef_APC_Wheeled_MG,6,,6,,6,,6,,13
vehicledef_APC_Wheeled_SRM,6,,6,,6,,6,,13
vehicledef_APC_HeavyHover,17,,17,,17,,19,,20
vehicledef_APC_HeavyWheeled,22,,22,,23,,25,,33
vehicledef_HOVERSCOUT,6,,6,,6,,6,,13
vehicledef_APC_Hover_LRM,6,,6,,6,,6,,7
vehicledef_APC_Wheeled_LRM,6,,6,,6,,6,,7
vehicledef_APC_HeavyTracked,22,,22,,23,,25,,33
vehicledef_APC_Tracked_LRM,6,,6,,6,,6,,7
vehicledef_APC_HeavyWheeled_MG,11,,11,,11,,13,,13
vehicledef_APC_HeavyHover_MG,11,,6,,6,,6,,13
vehicledef_APC_HeavyTracked_MG,11,,11,,11,,13,,13
vehicledef_APC_HeavyWheeled_SRM,6,,6,,6,,6,,7
vehicledef_APC_HeavyWheeled_LRM,6,,6,,6,,6,,7
vehicledef_APC_HeavyTracked_SRM,6,,6,,6,,6,,7
vehicledef_APC_HeavyHover_SRM,6,,6,,6,,6,,7
vehicledef_APC_HeavyTracked_LRM,6,,6,,6,,6,,7
vehicledef_APC_HeavyHover_LRM,6,,6,,6,,6,,7
vehicledef_WARRIOR_H-7A,17,,17,,17,,13,,7
vehicledef_PACKRAT_ICE,6,,11,,17,,19,,7
vehicledef_WARRIOR_H-7,22,,22,,23,,19,,13
vehicledef_SCORPION,94,,83,,63,,51,,20
vehicledef_GALLEON_GAL-100,22,,28,,40,,32,,20
vehicledef_SCORPION_ML,22,,22,,17,,13,,13
vehicledef_PACKRAT_PKR-T5,6,,11,,29,,32,,13
vehicledef_GALLEON_GAL-200,6,,6,,6,,13,,13
vehicledef_SCORPION_SRM,44,,44,,29,,25,,26
vehicledef_SCORPION_MRM,0,,0,,0,,0,3060-01-01T00:00:00Z,13
vehicledef_HARASSER,22,,22,,29,,32,,20
vehicledef_WARRIOR_H-8,0,,0,,0,3055-01-01T00:00:00Z,6,,33
vehicledef_SCORPION_LRM,22,,22,,17,,13,,13
vehicledef_JEdgar_ICE,22,,22,,23,,25,,7
vehicledef_WARRIOR_H-7C,6,,6,,6,,6,,7
vehicledef_SCIMITAR,44,,61,,63,,70,,20
vehicledef_JEdgar,11,,6,,6,,6,,7
vehicledef_STRIKER,22,,17,,17,,0,,0
vehicledef_PLAINSMAN_SCOUT,0,,0,,0,,0,3067-01-01T00:00:00Z,7
vehicledef_KARNOV_PERIPHERY,0,,0,,0,,0,3064-01-01T00:00:00Z,7
vehicledef_SALADIN_ARMOR,17,,11,,11,,6,,0
vehicledef_SALADIN,72,,72,,74,,63,,60
vehicledef_HUNTER_LRM15,6,,6,,6,,6,,13
vehicledef_PLAINSMAN,0,3039-01-01T00:00:00Z,11,,11,,13,,13
vehicledef_PEGASUS,66,,44,,29,,25,,13
vehicledef_HUNTER_LRM10,6,,6,,6,,6,,13
vehicledef_HUNTER,22,,28,,29,,32,,33
vehicledef_GALLEON_GAL-102,0,,0,,0,3055-01-01T00:00:00Z,6,,26
vehicledef_SARACEN,44,,61,,63,,70,,40
vehicledef_HUNTER_AMMO,6,,6,,6,,6,,0
vehicledef_YELLOWJACKET,0,,0,,0,,0,3059-01-01T00:00:00Z,26
vehicledef_YELLOWJACKET_AMMO,0,,0,,0,,0,3059-01-01T00:00:00Z,7
Mediums,,,,,,,,,
vehicledef_VEDETTE_AC2,140,,136,,140,,173,,184
vehicledef_VEDETTE,400,,379,,400,,345,,360
vehicledef_HETZER_LASER,10,,10,,10,,7,,7
vehicledef_BALLISTA,70,,68,,50,,43,,37
vehicledef_HETZER_AC10,10,,10,,10,,7,,7
vehicledef_GOBLIN,50,,49,,50,,36,,0
vehicledef_HETZER,60,,58,,40,,36,,15
vehicledef_CARRIER_LIGHTSRM,0,,0,,0,3058-01-01T00:00:00Z,36,,66
vehicledef_GLADIUS,0,,0,,0,,0,3067-01-01T00:00:00Z,37
vehicledef_HETZER_SRM,10,,10,,10,,7,,7
vehicledef_CONDOR,50,,49,,50,,43,,51
vehicledef_HETZER_LRM,10,,10,,10,,7,,7
vehicledef_FALCON,20,,19,,20,,22,,22
vehicledef_PROWLER_SEALED,20,,19,,10,,7,,7
vehicledef_MAXIM_SRM4,10,,10,,10,,14,,15
vehicledef_HAWK_LTV-4,30,,29,,30,,36,,0
vehicledef_PROWLER,0,,0,3049-01-01T00:00:00Z,10,,14,,22
vehicledef_MAXIM_SRM2,10,,10,,10,,14,,15
vehicledef_MAXIM,80,,68,,80,,65,,22
vehicledef_PROWLER_ECM,0,,0,,0,3050-01-01T00:00:00Z,7,,7
vehicledef_PROWLER_SUPPORT,20,,19,,10,,7,,7
vehicledef_MYRMIDON,0,,0,,0,,0,3060-01-01T00:00:00Z,37
vehicledef_DRILLSON_SRM,0,3039-01-01T00:00:00Z,10,,10,,14,,15
vehicledef_DRILLSON,0,3039-01-01T00:00:00Z,39,,40,,36,,15
vehicledef_FULCRUM,0,,0,,0,3058-01-01T00:00:00Z,22,,37
Heavies,,,,,,,,,
vehicledef_CARRIER_AC2,41,,41,,43,,50,,39
vehicledef_CARRIER_LBX,0,,0,,0,,0,3062-01-01T00:00:00Z,20
vehicledef_BULLDOG_AC2,30,,24,,17,,20,,10
vehicledef_CARRIER_LASER,30,,24,,26,,30,,39
vehicledef_THUMPER,166,,163,,122,,70,,49
vehicledef_BULLDOG,59,,57,,43,,50,,20
vehicledef_PIKE,41,,41,,43,,50,,20
vehicledef_PO,0,,0,3049-01-01T00:00:00Z,17,,20,,29
vehicledef_BULLDOG_LRM,30,,24,,17,,20,,10
vehicledef_CARRIER_MRM,0,,0,,0,,0,3062-01-01T00:00:00Z,49
vehicledef_CARRIER_SRM_3054,0,,0,,0,3055-01-01T00:00:00Z,20,,29
vehicledef_CARRIER_LRM_3055,0,,0,,0,3058-01-01T00:00:00Z,40,,88
vehicledef_CARRIER_SRM,166,,163,,174,,110,,98
vehicledef_CARRIER_LRM,166,,163,,174,,150,,118
vehicledef_CARRIER_SRM_C3,0,,0,,0,,0,3065-01-01T00:00:00Z,20
vehicledef_ZHUKOV,0,3030-01-01T00:00:00Z,24,,26,,30,,39
vehicledef_MANTICORE,237,,228,,243,,260,,206
vehicledef_BRUTUS,12,,16,,17,,30,,29
vehicledef_BRUTUS_PPC,6,,8,,9,,10,,10
vehicledef_BRUTUS_LRM,6,,8,,9,,10,,20
Assaults,,,,,,,,,
vehicledef_PARTISAN_AC2,30,,30,,23,,30,,10
vehicledef_PARTISAN,160,,141,,146,,141,,40
vehicledef_LONGTOM-LT-MOB-25F,0,,0,,0,,0,3059-01-01T00:00:00Z,10
vehicledef_SCHREK_AC,30,,20,,23,,20,,20
vehicledef_LONGTOM-LT-MOB-25,12,,16,,17,,30,,49
vehicledef_DEMOLISHER_MG,30,,40,,46,,40,,59
vehicledef_SCHREK,10,,30,,46,,71,,79
vehicledef_ONTOS,40,,30,,38,,0,,0
vehicledef_CARRIER_HEAVYLRM,0,,0,,0,3058-01-01T00:00:00Z,30,,59
vehicledef_DEMOLISHER,190,,233,,231,,233,,268
vehicledef_PARTISAN_LRM,30,,30,,23,,30,,10
vehicledef_DEVASTATOR,80,,71,,69,,51,,30
vehicledef_BEHEMOTH_FLAMER,10,,10,,8,,10,,10
vehicledef_BEHEMOTH,70,,61,,31,,40,,50
vehicledef_STURMFEUR,0,3039-01-01T00:00:00Z,30,,38,,30,,40
vehicledef_RHINO_FLAMER,70,,61,,62,,61,,69
vehicledef_RHINO_MG,70,,61,,62,,61,,69
vehicledef_RHINO,140,,121,,123,,121,,149
vehicledef_RHINO_SL,40,,30,,31,,30,,40
