SteelViperVehicles,,,,,,,,,
Collection:DiamondSharkVehicles,17,,16,,10,,12,,19
Collection:GhostBearVehicles,10,,10,,5,,5,,8
Collection:HellsHorsesVehicles,7,,6,,0,,0,,8
Collection:JadeFalconVehicles,33,,32,,50,,47,,38
Collection:NovaCatVehicles,3,,3,,0,,0,,0
Collection:SmokeJaguarVehicles,10,,10,,5,,0,,0
Collection:SnowRavenVehicles,3,,3,,0,,0,Jump:3064-02-18T00:00:00Z,8
Collection:WolfVehicles,17,,16,,20,,19,,19
Collection:SteinerVehicles,0,3049-08-01T00:00:00Z,4,,10,,19,,0
Dates,3049-01-01T00:00:00Z,,3055-01-01T00:00:00Z,,3058-01-01T00:00:00Z,,3060-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_KESTREL_CLAN,30,,27,,27,,20,,19
vehicledef_MAULTIER,122,,110,,100,,100,,102
vehicledef_RIPPER_ROYAL,89,,80,,100,,100,,102
vehicledef_NIGHTSHADE,30,,27,,37,,37,,36
vehicledef_BADGER_C-E,0,,0,,0,,0,3061-01-01T00:00:00Z,1
vehicledef_BADGER_C-A,4,,3,,3,,2,,1
vehicledef_SHAMASH,15,,13,,13,,12,,13
vehicledef_BADGER_C-D,4,,3,,3,,2,,1
vehicledef_LIGHTNING,119,,106,,96,,95,,96
vehicledef_BADGER_C-H,0,,0,,0,,0,3061-01-01T00:00:00Z,1
vehicledef_BADGER_C-C,4,,3,,3,,2,,1
vehicledef_BADGER_C-B,4,,3,,3,,2,,1
vehicledef_ZORYA,0,,83,,83,,86,,86
vehicledef_ZORYA_AMMO,0,,20,,20,,22,,21
vehicledef_BADGER_C-PRIME,4,,3,,3,,2,,1
vehicledef_NIGHTSHADE_ROYAL,30,,27,,37,,37,,36
vehicledef_LIGHTNING_ROYAL,233,,209,,189,,191,,193
vehicledef_MITHRAS,41,,37,,37,,37,,37
vehicledef_ODIN,30,,27,,27,,27,,26
vehicledef_SVANTOVIT,15,,13,,13,,10,,11
vehicledef_ANHUR,41,,37,,37,,37,,37
vehicledef_SVANTOVIT_ORIGINAL,4,,3,,3,,2,,3
vehicledef_INDRA,30,,27,,27,,27,,26
vehicledef_DONAR,56,,50,,50,,54,,53
vehicledef_ASSHUR,19,,17,,17,,20,,19
vehicledef_ASSHUR_RECON,81,,73,,73,,76,,76
Mediums,,,,,,,,,
vehicledef_PROWLER,82,,80,,99,,94,,96
vehicledef_PROWLER_ECM,7,,10,,21,,25,,25
vehicledef_ZEPHYR_ROYAL,514,,514,,472,,472,,479
vehicledef_THOR_CLAN,79,,76,,70,,69,,64
vehicledef_BANDIT_C-E,0,,0,,0,,0,3061-01-01T00:00:00Z,2
vehicledef_BANDIT_C-PRIME,7,,7,,7,,6,,2
vehicledef_KU,110,,111,,92,,94,,89
vehicledef_BANDIT_C-D,3,,3,,7,,6,,2
vehicledef_BANDIT_C-A,3,,3,,7,,6,,2
vehicledef_MAXIM_CLAN,0,,0,3058-01-01T00:00:00Z,49,,50,,32
vehicledef_ARES,110,,111,,92,,94,,89
vehicledef_BANDIT_C-B,3,,3,,7,,6,,2
vehicledef_BANDIT_C-H,0,,0,,0,,0,3061-01-01T00:00:00Z,2
vehicledef_BANDIT_C-C,3,,3,,7,,6,,2
vehicledef_HACHIMAN,79,,76,,70,,69,,64
vehicledef_ENYO,0,,0,,0,,0,3063-01-01T00:00:00Z,44
Heavies,,,,,,,,,
vehicledef_PIKE_CLAN,0,3055-01-01T00:00:00Z,66,,64,,69,,70
vehicledef_DEMON,338,,341,,343,,386,,388
vehicledef_ORO,226,,190,,186,,188,,186
vehicledef_KOKOU,57,,48,,50,,50,,47
vehicledef_DEMON_ROYAL,240,,241,,243,,188,,194
vehicledef_ISHTAR,57,,48,,50,,50,,47
vehicledef_ATHENA,81,,66,,64,,69,,70
Assaults,,,,,,,,,
vehicledef_HUITZILOPOCHTLI,149,,152,,114,,119,,94
vehicledef_FURY_ROYAL,91,,90,,121,,99,,94
vehicledef_MORRIGU_LASER,0,,0,,0,,0,3067-01-01T00:00:00Z,8
vehicledef_PUMA_PAT-005b,361,,362,,350,,386,,394
vehicledef_DEMOLISHER_CLAN,0,,0,3058-01-01T00:00:00Z,86,,79,,71
vehicledef_RHINO_ROYAL,98,,97,,93,,79,,79
vehicledef_MORRIGU,0,,0,,0,,0,3067-01-01T00:00:00Z,31
vehicledef_HEIMDALL-PRIME,0,,0,,0,,0,3063-01-01T00:00:00Z,8
vehicledef_MARS_ATM,0,,0,,0,,0,3064-01-01T00:00:00Z,55
vehicledef_MARS,301,,300,,236,,238,,142
vehicledef_HEIMDALL-A,0,,0,,0,,0,3063-01-01T00:00:00Z,16
vehicledef_HEIMDALL-B,0,,0,,0,,0,3067-01-01T00:00:00Z,8
