AndurienVehicles,,,,,
Salvage:LiaoVehicles,11,,14,,9
Salvage:MarikVehicles,29,,36,,21
Dates,3030-01-01T00:00:00Z,,3035-01-01T00:00:00Z,,3040-01-01T00:00:00Z
Lights,,,,,
vehicledef_FERRET,42,,37,,39
vehicledef_APC_Hover,17,,14,,14
vehicledef_FERRET_ARMOR,5,,6,,4
vehicledef_APC_Hover_MG,6,,6,,4
vehicledef_KARNOV,33,,28,,28
vehicledef_APC_Hover_SRM,6,,6,,4
vehicledef_APC_Tracked,33,,28,,28
vehicledef_APC_Tracked_MG,6,,6,,4
vehicledef_APC_Wheeled,24,,20,,21
vehicledef_APC_Tracked_SRM,12,,11,,11
vehicledef_APC_Wheeled_MG,8,,8,,7
vehicledef_APC_Wheeled_SRM,8,,8,,7
vehicledef_APC_HeavyHover,31,,28,,28
vehicledef_APC_HeavyWheeled,44,,40,,39
vehicledef_HOVERSCOUT,8,,8,,7
vehicledef_APC_Hover_LRM,4,,3,,4
vehicledef_APC_Wheeled_LRM,4,,3,,4
vehicledef_APC_HeavyTracked,44,,40,,39
vehicledef_APC_Tracked_LRM,4,,3,,4
vehicledef_APC_HeavyWheeled_MG,22,,20,,21
vehicledef_APC_HeavyHover_MG,16,,14,,14
vehicledef_KARNOV_GUNSHIP,0,,0,3039-01-01T00:00:00Z,7
vehicledef_KARNOV_ARTILLERY,0,,0,3039-01-01T00:00:00Z,4
vehicledef_APC_HeavyTracked_MG,22,,20,,21
vehicledef_SKULKER_MG,2,,3,,4
vehicledef_WARRIOR_H-7A,11,,11,,11
vehicledef_PACKRAT_ICE,3,,3,,4
vehicledef_WARRIOR_H-7,16,,14,,14
vehicledef_SCORPION,66,,59,,56
vehicledef_GALLEON_GAL-100,47,,42,,42
vehicledef_SKULKER,16,,14,,14
vehicledef_PEGASUS_UA,8,,6,,4
vehicledef_SKULKER_SRM,6,,6,,4
vehicledef_SCORPION_ML,17,,14,,14
vehicledef_HARASSER_LASER,33,,28,,28
vehicledef_PACKRAT_PKR-T5,15,,14,,18
vehicledef_PEREGRINE,15,,8,,7
vehicledef_HARASSER_Mini-Peggy,6,,6,,7
vehicledef_HARASSER_FLAMER,7,,6,,7
vehicledef_SCORPION_SRM,33,,28,,28
vehicledef_HARASSER_LRM,21,,20,,18
vehicledef_HARASSER,60,,51,,49
vehicledef_SCORPION_LRM,17,,14,,14
vehicledef_JEdgar_ICE,4,,3,,4
vehicledef_WARRIOR_H-7C,6,,6,,4
vehicledef_JEdgar_Flamer,3,,3,,4
vehicledef_JEdgar_MG,3,,3,,4
vehicledef_SCIMITAR,42,,37,,39
vehicledef_JEdgar,13,,11,,11
vehicledef_STRIKER,12,,11,,11
vehicledef_PEGASUS_SENSORS,12,,8,,7
vehicledef_STRIKER_SRM,6,,6,,4
vehicledef_SALADIN_ARMOR,13,,8,,11
vehicledef_SALADIN,54,,48,,49
vehicledef_HUNTER_LRM15,3,,3,,4
vehicledef_PLAINSMAN,0,,0,3039-01-01T00:00:00Z,11
vehicledef_STRIKER_LRM,6,,6,,4
vehicledef_PEGASUS,96,,73,,60
vehicledef_HUNTER_LRM10,3,,3,,4
vehicledef_HUNTER,17,,17,,21
vehicledef_SARACEN,35,,37,,42
vehicledef_HUNTER_AMMO,2,,3,,4
vehicledef_PEGASUS_MISSILE,8,,6,,4
vehicledef_SCIMITAR_MISSILE,5,,6,,4
Mediums,,,,,
vehicledef_VEDETTE_AC2,201,,177,,165
vehicledef_VEDETTE,570,,497,,470
vehicledef_HETZER_LASER,5,,6,,4
vehicledef_BALLISTA,34,,31,,28
vehicledef_HETZER_AC10,3,,3,,4
vehicledef_HETZER_SCOUT,2,,3,,4
vehicledef_HETZER,28,,25,,24
vehicledef_HETZER_SRM,5,,6,,4
vehicledef_CONDOR,68,,59,,56
vehicledef_HETZER_LRM,5,,6,,4
vehicledef_FALCON,34,,31,,28
vehicledef_PROWLER_SEALED,24,,20,,20
vehicledef_MAXIM_SRM4,14,,11,,12
vehicledef_MAXIM_SRM2,14,,11,,12
vehicledef_MAXIM,109,,96,,88
vehicledef_PROWLER_SUPPORT,24,,20,,20
vehicledef_DRILLSON_SRM,0,,0,3039-01-01T00:00:00Z,12
vehicledef_DRILLSON,0,,0,3039-01-01T00:00:00Z,44
Heavies,,,,,
vehicledef_HI-SCOUT,23,,20,,20
vehicledef_CARRIER_AC2,47,,42,,40
vehicledef_BULLDOG_AC2,23,,20,,20
vehicledef_CARRIER_LASER,66,,59,,60
vehicledef_THUMPER,176,,132,,110
vehicledef_BULLDOG,47,,42,,40
vehicledef_PIKE,47,,42,,40
vehicledef_BULLDOG_LRM,23,,20,,20
vehicledef_CARRIER_SRM,187,,166,,170
vehicledef_CARRIER_LRM,187,,166,,170
vehicledef_ZHUKOV,66,,70,,80
vehicledef_MANTICORE,187,,166,,170
vehicledef_VONLUCKNER_VNL-K65N,23,,20,,20
Assaults,,,,,
vehicledef_PARTISAN_AC2,26,,23,,21
vehicledef_PARTISAN,144,,125,,124
vehicledef_SCHREK_AC,35,,31,,31
vehicledef_LONGTOM-LT-MOB-25,35,,37,,40
vehicledef_SCHREK_MG,2,,3,,10
vehicledef_DEMOLISHER_MG,30,,25,,31
vehicledef_SCHREK,27,,37,,62
vehicledef_ONTOS,357,,306,,289
vehicledef_DEMOLISHER,165,,145,,144
vehicledef_PARTISAN_LRM,26,,23,,21
vehicledef_DEVASTATOR,69,,59,,62
vehicledef_ONTOS_FUSION,34,,34,,31
vehicledef_RHINO_FLAMER,43,,37,,41
vehicledef_RHINO_MG,43,,37,,41
vehicledef_RHINO,87,,76,,72
vehicledef_RHINO_SL,22,,20,,21
vehicledef_SOARECE,30,,20,,0
