BanditCasteVehicles,,,,,,,,,
Salvage:DiamondSharkVehicles,4,,4,,5,,5,,5
Salvage:GhostBearVehicles,4,,4,,5,,5,,5
Salvage:JadeFalconVehicles,4,,4,,5,,5,,5
Salvage:NovaCatVehicles,4,,4,,5,,5,,3
Salvage:SmokeJaguarVehicles,4,,4,,5,,4,,1
Salvage:SteelViperVehicles,4,,4,,5,,5,,5
Salvage:WolfVehicles,4,,4,,5,,5,,5
Dates,3049-01-01T00:00:00Z,,3053-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3065-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,15,,21,,17,,21,,60
vehicledef_KESTREL_CLAN,8,,12,,12,,14,,40
vehicledef_APC_HeavyTracked,21,,30,,25,,30,,84
vehicledef_MAULTIER,58,,85,,67,,80,,226
vehicledef_RIPPER_ROYAL,33,,48,,38,,64,,181
vehicledef_GALLEON,32,,44,,37,,50,,143
vehicledef_RIPPER,8,,12,,9,,16,,45
vehicledef_NIGHTSHADE,52,,54,,43,,72,,203
vehicledef_BADGER_C-E,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_BADGER_C-A,1,,1,,1,,1,,1
vehicledef_SHAMASH,4,,6,,6,,10,,29
vehicledef_BADGER_C-D,1,,1,,1,,1,,1
vehicledef_LIGHTNING,209,,307,,241,,286,,812
vehicledef_BADGER_C-H,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_BADGER_C-C,1,,1,,1,,1,,1
vehicledef_BADGER_C-B,1,,1,,1,,1,,1
vehicledef_ZORYA,27,,38,,38,,65,,183
vehicledef_ZORYA_AMMO,7,,10,,10,,16,,46
vehicledef_BADGER_C-PRIME,1,,1,,1,,1,,2
vehicledef_NIGHTSHADE_ROYAL,13,,14,,11,,18,,51
vehicledef_LIGHTNING_ROYAL,52,,77,,60,,72,,203
vehicledef_MITHRAS,12,,17,,17,,20,,57
vehicledef_ODIN,8,,12,,12,,20,,57
vehicledef_SVANTOVIT,3,,4,,4,,5,,14
vehicledef_ANHUR,12,,17,,17,,29,,81
vehicledef_CYRANO_ROYAL,46,,68,,53,,0,,0
vehicledef_SVANTOVIT_ORIGINAL,1,,1,,1,,1,,4
vehicledef_INDRA,8,,12,,12,,20,,57
vehicledef_DONAR,17,,24,,24,,40,,114
vehicledef_ASSHUR,6,,8,,8,,14,,40
vehicledef_ASSHUR_RECON,19,,27,,27,,45,,128
Mediums,,,,,,,,,
vehicledef_CHAPARRAL_MG,0,,0,,0,,0,3062-01-01T00:00:00Z,41
vehicledef_ZEPHYR_ROYAL,154,,161,,145,,138,,392
vehicledef_CHAPARRAL,58,,58,,48,,64,,166
vehicledef_THOR_CLAN,46,,46,,53,,61,,102
vehicledef_BANDIT_C-E,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_BANDIT_C-PRIME,1,,1,,1,,1,,2
vehicledef_KU,9,,7,,8,,7,,19
vehicledef_BANDIT_C-D,1,,1,,1,,1,,1
vehicledef_BANDIT_C-A,1,,1,,1,,1,,1
vehicledef_APC_Maxim_Clan,0,,0,,0,3059-01-01T00:00:00Z,13,,38
vehicledef_ARES,18,,21,,24,,27,,76
vehicledef_BANDIT_C-B,1,,1,,1,,1,,1
vehicledef_BANDIT_C-H,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_BANDIT_C-C,1,,1,,1,,1,,1
vehicledef_HACHIMAN,13,,15,,17,,19,,54
Heavies,,,,,,,,,
vehicledef_RECOVERY_HeavyMech,9,,10,,10,,9,,15
vehicledef_CARRIER_SRM,6,,7,,7,,6,,10
vehicledef_CARRIER_LRM,4,,4,,3,,3,,6
vehicledef_PIKE_CLAN,0,,0,3055-01-01T00:00:00Z,9,,12,,21
vehicledef_DEMON,81,,85,,77,,73,,122
vehicledef_ORO,23,,24,,23,,25,,42
vehicledef_KOKOU,8,,9,,8,,9,,15
vehicledef_DEMON_ROYAL,57,,60,,54,,37,,61
vehicledef_ISHTAR,8,,9,,8,,9,,15
Assaults,,,,,,,,,
vehicledef_HUITZILOPOCHTLI,14,,14,,16,,17,,25
vehicledef_FURY_ROYAL,30,,27,,24,,20,,34
vehicledef_RHINO_MG,17,,7,,7,,6,,10
vehicledef_RHINO,3,,14,,13,,12,,20
vehicledef_PUMA_PAT-005b,86,,107,,96,,81,,135
vehicledef_DEMOLISHER_CLAN,0,,0,,0,3058-01-01T00:00:00Z,17,,24
vehicledef_RHINO_ROYAL,22,,12,,10,,9,,15
vehicledef_MARS_ATM,0,,0,,0,,0,3065-01-01T00:00:00Z,14
vehicledef_MARS,40,,41,,48,,38,,54
