BlackWidowCompanyVehicles,,,,,,,,,
Collection:DavionVehicles,11,,10,,7,,7,,7
Collection:KuritaVehicles,11,,10,,7,,7,,7
Collection:LiaoVehicles,11,,10,,7,,7,,7
Collection:MarikVehicles,11,,10,,7,,7,,7
Collection:SteinerVehicles,11,,10,,7,,7,,7
Collection:GhostBearVehicles,0,,0,Jump:3050-01-01T00:00:00Z,1,,3,,5
Collection:JadeFalconVehicles,0,,0,Jump:3050-01-01T00:00:00Z,1,,3,,5
Collection:NovaCatVehicles,0,,0,Jump:3050-01-01T00:00:00Z,1,,2,,3
Collection:SmokeJaguarVehicles,0,,0,Jump:3050-01-01T00:00:00Z,1,,2,,0
Collection:SteelViperVehicles,0,,0,Jump:3050-01-01T00:00:00Z,1,,2,,3
Collection:WolfVehicles,0,,0,Jump:3050-01-01T00:00:00Z,1,,3,,5
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,20,,20,,21,,28,,61
vehicledef_SPRINT_TRANSPORT,0,,0,,0,3056-01-01T00:00:00Z,6,,14
vehicledef_SPRINT_C3,0,,0,,0,3057-01-01T00:00:00Z,6,,16
vehicledef_SPRINT,0,,0,,0,3055-01-01T00:00:00Z,32,,79
vehicledef_KESTREL,4,,2,,2,,2,,4
vehicledef_KESTREL_SCOUT,0,3030-01-01T00:00:00Z,1,,0,,0,,0
vehicledef_KESTREL_SL,2,,1,,1,,1,,2
vehicledef_HOVERSCOUT,3,,3,,3,,4,,9
vehicledef_KESTREL_SRM,0,,0,3042-01-01T00:00:00Z,2,,2,,3
vehicledef_WINTERHAWK,0,,0,,0,3059-01-01T00:00:00Z,7,,15
vehicledef_APC_HeavyTracked,13,,13,,14,,19,,40
vehicledef_SPRINT_LASER,0,,0,,0,3056-01-01T00:00:00Z,9,,22
vehicledef_KESTREL_ML,0,3030-01-01T00:00:00Z,3,,2,,2,,5
vehicledef_BLIZZARD_SRM,0,,0,,0,,0,3062-01-01T00:00:00Z,9
vehicledef_CENTIPEDE,0,,0,,0,3055-01-01T00:00:00Z,21,,37
vehicledef_BLIZZARD,0,,0,,0,3055-01-01T00:00:00Z,7,,12
vehicledef_WARRIOR_H-7A,5,,5,,5,,5,,2
vehicledef_PACKRAT_ICE,1,,1,,2,,1,,0
