SLRoyalVehicles,
,
,
Dates,2750-01-01T00:00:00Z
Lights,
vehicledef_GABRIEL,4
vehicledef_MAULTIER,6
vehicledef_RIPPER_ROYAL,1
vehicledef_COBRA_ORIGINAL,1
vehicledef_GALLEON_GAL-100,14
vehicledef_MOBILEHQ,3
vehicledef_BEAGLE,19
vehicledef_RIPPER,3
vehicledef_NIGHTSHADE,4
vehicledef_ROTUNDA,3
vehicledef_CYRANO,5
vehicledef_LIGHTNING,7
vehicledef_NIGHTSHADE_ROYAL,1
vehicledef_LIGHTNING_ROYAL,3
vehicledef_CHEVALIER,8
vehicledef_CYRANO_ROYAL,6
Mediums,
vehicledef_THOR,8
vehicledef_KANGA,23
vehicledef_ZEPHYR_ROYAL,47
vehicledef_CHAPARRAL,22
vehicledef_ZEPHYR_SRM2,6
vehicledef_ZEPHYR,12
Heavies,
vehicledef_CORMORANT,1
vehicledef_RECOVERY_HeavyMech,4
vehicledef_CARRIER_AC2,1
vehicledef_MARKSMAN,1
vehicledef_MAGI,6
vehicledef_BURKE,17
vehicledef_CARRIER_SRM,12
vehicledef_CARRIER_LRM,17
vehicledef_DEMON_PPC,2
vehicledef_DEMON,10
vehicledef_VONLUCKNER_VNL-K65N,4
vehicledef_PADILLA,14
vehicledef_DEMON_HORNED,3
vehicledef_VONLUCKNER_SLDF,8
vehicledef_DEMON_ROYAL,3
Assaults,
vehicledef_FURY,7
vehicledef_FURY_II,3
vehicledef_PUMA_PAT-005,18
vehicledef_ALACORN_MK-IV,2
vehicledef_ALACORN_MK-III,2
vehicledef_RHINO_MG,9
vehicledef_RHINO,18
vehicledef_RHINO_ROYAL,9
vehicledef_ALACORN_MK-VI,20
