NovaCatVehicles,,,,,,,,,
Collection:DiamondSharkVehicles,3,,3,,1,,0,,0
Collection:GhostBearVehicles,9,,9,,10,,10,,22
Collection:JadeFalconVehicles,3,,3,,2,,2,,1
Collection:SmokeJaguarVehicles,3,,3,,8,,22,,11
Collection:SteelViperVehicles,3,,3,,2,,0,,0
Collection:WolfVehicles,7,,7,,5,,0,,0
Collection:KuritaAVehicles,0,,0,,7,,25,,12
Collection:RasalhagueAVehicles,0,,0,,1,,6,,9
Collection:SteinerAVehicles,0,,0,,3,,14,,19
Collection:DavionAVehicles,0,,0,,3,,14,,22
,,,,,,,,,
Dates,3049-01-01T00:00:00Z,,3053-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3065-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,16,,16,,16,,19,,52
vehicledef_KESTREL_CLAN,12,,12,,12,,14,,40
vehicledef_APC_HeavyTracked,15,,15,,15,,17,,49
vehicledef_MAULTIER,41,,41,,41,,26,,74
vehicledef_RIPPER_ROYAL,10,,10,,10,,9,,25
vehicledef_GALLEON,23,,23,,23,,30,,84
vehicledef_RIPPER,19,,19,,19,,17,,49
vehicledef_NIGHTSHADE,16,,16,,16,,15,,41
vehicledef_BADGER_C-E,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_BADGER_C-A,1,,1,,1,,1,,1
vehicledef_SHAMASH,6,,6,,6,,10,,29
vehicledef_BADGER_C-D,1,,1,,1,,1,,1
vehicledef_LIGHTNING,61,,61,,61,,39,,111
vehicledef_BADGER_C-H,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_BADGER_C-C,1,,1,,1,,1,,1
vehicledef_BADGER_C-B,1,,1,,1,,1,,1
vehicledef_ZORYA,38,,38,,38,,65,,183
vehicledef_ZORYA_AMMO,10,,10,,10,,16,,46
vehicledef_BADGER_C-PRIME,1,,1,,1,,1,,2
vehicledef_NIGHTSHADE_ROYAL,16,,16,,16,,15,,41
vehicledef_LIGHTNING_ROYAL,122,,122,,122,,78,,221
vehicledef_MITHRAS,17,,17,,17,,20,,57
vehicledef_ODIN,12,,12,,12,,20,,57
vehicledef_SVANTOVIT,4,,4,,4,,5,,14
vehicledef_ANHUR,17,,17,,17,,29,,81
vehicledef_CYRANO_ROYAL,5,,4,,4,,5,,6
vehicledef_SVANTOVIT_ORIGINAL,1,,1,,1,,1,,4
vehicledef_INDRA,12,,12,,12,,14,,40
vehicledef_DONAR,24,,24,,24,,40,,114
vehicledef_ASSHUR,8,,8,,8,,14,,40
vehicledef_ASSHUR_RECON,27,,27,,27,,45,,128
Mediums,,,,,,,,,
vehicledef_HETZER,12,,12,,37,,16,,33
vehicledef_ZEPHYR_ROYAL,107,,107,,230,,67,,142
vehicledef_THOR_CLAN,17,,17,,38,,21,,54
vehicledef_BANDIT_C-E,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_BANDIT_C-PRIME,1,,1,,3,,1,,2
vehicledef_KU,11,,11,,24,,13,,27
vehicledef_BANDIT_C-D,1,,1,,2,,1,,1
vehicledef_BANDIT_C-A,1,,1,,2,,1,,1
vehicledef_APC_Maxim_Clan,0,,0,,0,3059-01-01T00:00:00Z,18,,38
vehicledef_ARES,32,,32,,69,,36,,76
vehicledef_BANDIT_C-B,1,,1,,2,,1,,1
vehicledef_BANDIT_C-H,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_BANDIT_C-C,1,,1,,2,,1,,1
vehicledef_EPONA-B,0,,0,,0,Jump:3060-01-01T00:00:00Z,1,,2
vehicledef_EPONA-PRIME,0,,0,,0,Jump:3060-01-01T00:00:00Z,2,,3
vehicledef_HACHIMAN,23,,23,,49,,26,,54
vehicledef_EPONA-C,0,,0,,0,Jump:3060-01-01T00:00:00Z,1,,2
vehicledef_EPONA-A,0,,0,,0,Jump:3060-01-01T00:00:00Z,1,,2
Heavies,,,,,,,,,
vehicledef_RECOVERY_HeavyMech,16,,16,,31,,16,,27
vehicledef_CARRIER_SRM,11,,11,,22,,11,,19
vehicledef_CARRIER_LRM,6,,6,,11,,6,,11
vehicledef_PIKE_CLAN,0,,0,3055-01-01T00:00:00Z,35,,33,,57
vehicledef_TOKUGAWA_STREAK,0,,0,,0,,0,3063-01-01T00:00:00Z,41
vehicledef_DEMON,56,,56,,125,,40,,54
vehicledef_ORO,37,,37,,63,,24,,41
vehicledef_KOKOU,13,,13,,22,,17,,29
vehicledef_DEMON_ROYAL,39,,39,,89,,20,,27
vehicledef_ISHTAR,13,,13,,22,,17,,29
vehicledef_SHODEN,0,,0,,0,,0,3064-01-01T00:00:00Z,29
Assaults,,,,,,,,,
vehicledef_PARTISAN_AD,0,,0,,0,3060-01-01T00:00:00Z,10,,20
