ComStarVehicles,,,,,,,,,
Collection:SLRoyalVehicles,166,,166,,166,,126,,81
Collection:WordOfBlakeVehicles,0,,0,,0,Jump:3058-02-28T00:00:00Z,60,,60
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3049-01-01T00:00:00Z,,3058-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_SPRINT_C3i,0,,0,,0,,0,3067-01-01T00:00:00Z,4
vehicledef_SPRINT_TRANSPORT,0,,0,,0,3055-01-01T00:00:00Z,3,,6
vehicledef_SPRINT,0,,0,,0,3055-01-01T00:00:00Z,10,,18
vehicledef_SPRINT_C3,0,,0,,0,3056-01-01T00:00:00Z,3,,4
vehicledef_APC_Hover,13,,12,,16,,15,,14
vehicledef_APC_Hover_MG,4,,4,,4,,5,,4
vehicledef_KARNOV,26,,24,,28,,24,,8
vehicledef_APC_Hover_SRM,4,,4,,4,,5,,4
vehicledef_APC_Tracked,26,,24,,28,,29,,28
vehicledef_KARNOV_3055,0,,0,,0,3055-01-01T00:00:00Z,3,,8
vehicledef_KESTREL,0,,0,3049-01-01T00:00:00Z,4,,9,,8
vehicledef_APC_Tracked_MG,4,,4,,4,,5,,4
vehicledef_APC_Wheeled,17,,16,,20,,21,,20
vehicledef_RIPPER_SPL,0,,0,,0,,0,3059-01-01T00:00:00Z,14
vehicledef_APC_Tracked_SRM,9,,8,,12,,10,,10
vehicledef_APC_Wheeled_MG,4,,8,,8,,7,,8
vehicledef_KESTREL_SL,0,,0,3049-01-01T00:00:00Z,4,,5,,4
vehicledef_APC_Wheeled_SRM,4,,8,,8,,7,,8
vehicledef_APC_HeavyHover,26,,24,,28,,27,,26
vehicledef_APC_HeavyWheeled,34,,32,,40,,39,,38
vehicledef_HOVERSCOUT,4,,8,,8,,7,,6
vehicledef_KESTREL_SRM,0,,0,3049-01-01T00:00:00Z,4,,7,,6
vehicledef_APC_Hover_LRM,4,,4,,4,,3,,4
vehicledef_APC_Wheeled_LRM,4,,4,,4,,3,,4
vehicledef_GABRIEL,13,,12,,16,,15,,14
vehicledef_APC_HeavyTracked,34,,32,,40,,39,,38
vehicledef_APC_Tracked_LRM,4,,4,,4,,3,,4
vehicledef_APC_HeavyWheeled_MG,17,,16,,20,,19,,18
vehicledef_APC_HeavyHover_MG,13,,12,,12,,14,,14
vehicledef_SPRINT_LASER,0,,0,,0,3055-01-01T00:00:00Z,3,,6
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,4,,4,,3,,2
vehicledef_APC_HeavyTracked_MG,17,,16,,20,,19,,18
vehicledef_KESTREL_ML,0,,0,3049-01-01T00:00:00Z,4,,9,,8
vehicledef_SKULKER_MG,4,,4,,4,,2,,2
vehicledef_WARRIOR_H-7A,9,,8,,12,,10,,8
vehicledef_PACKRAT_ICE,4,,4,,8,,5,,4
vehicledef_WARRIOR_H-7,13,,12,,16,,14,,12
vehicledef_SCORPION,72,,68,,60,,41,,20
vehicledef_GALLEON_GAL-100,34,,36,,32,,22,,18
vehicledef_SKULKER,13,,12,,12,,7,,4
vehicledef_PEGASUS_UA,9,,4,,4,,2,,4
vehicledef_SKULKER_SRM,4,,4,,4,,2,,4
vehicledef_SCORPION_ML,17,,16,,16,,10,,6
vehicledef_BEAGLE,9,,8,,0,,0,,0
vehicledef_NIGHTSHADE_ARMOR,4,,4,,4,,0,,0
vehicledef_PACKRAT_PKR-T5,30,,28,,36,,36,,36
vehicledef_PEREGRINE,21,,12,,8,,9,,6
vehicledef_GALLEON_GAL-200,0,,0,3049-01-01T00:00:00Z,4,,3,,4
vehicledef_RIPPER,26,,24,,28,,29,,26
vehicledef_HARASSER_Mini-Peggy,0,,0,3049-01-01T00:00:00Z,4,,3,,4
vehicledef_HARASSER_FLAMER,0,,0,3049-01-01T00:00:00Z,4,,3,,4
vehicledef_NIGHTSHADE,9,,8,,12,,0,,0
vehicledef_SCORPION_SRM,34,,36,,28,,21,,14
vehicledef_SCORPION_MRM,0,,0,,0,,0,3060-01-01T00:00:00Z,10
vehicledef_ROTUNDA,9,,8,,12,,10,,10
vehicledef_HARASSER,0,,0,3049-01-01T00:00:00Z,24,,24,,18
vehicledef_SCORPION_LRM,17,,16,,16,,10,,6
vehicledef_JEdgar_ICE,4,,4,,4,,2,,2
vehicledef_MANTIS,0,,0,,0,,0,3061-01-01T00:00:00Z,10
vehicledef_WARRIOR_H-7C,4,,4,,4,,5,,6
vehicledef_CYRANO,34,,36,,40,,41,,40
vehicledef_JEdgar_Flamer,4,,4,,4,,2,,2
vehicledef_JEdgar_MG,4,,4,,4,,2,,2
vehicledef_CAVALRY_LRM,0,,0,,0,3055-01-01T00:00:00Z,3,,2
vehicledef_HAWKMOTH,0,,0,,0,,0,3060-01-01T00:00:00Z,14
vehicledef_CAVALRY_TAG,0,,0,,0,3058-01-01T00:00:00Z,2,,2
vehicledef_KARNOV_BA,0,,0,,0,,0,3062-01-01T00:00:00Z,8
vehicledef_HAWKMOTH_ARMOR,0,,0,,0,,0,3060-01-01T00:00:00Z,6
vehicledef_CAVALRY,0,,0,,0,3055-01-01T00:00:00Z,7,,4
vehicledef_CAVALRY_SRM,0,,0,,0,3055-01-01T00:00:00Z,3,,2
vehicledef_LIGHTNING,26,,24,,0,,0,,10
vehicledef_SCIMITAR,30,,44,,28,,19,,18
vehicledef_JEdgar,9,,8,,8,,5,,2
vehicledef_JEdgar_TAG,0,,0,,0,3052-01-01T00:00:00Z,3,,4
vehicledef_PEREGRINE_KURITA,0,,0,3049-01-01T00:00:00Z,4,,2,,2
vehicledef_STRIKER,13,,12,,12,,12,,6
vehicledef_PEGASUS_SENSORS,9,,8,,4,,3,,4
vehicledef_PLAINSMAN_SCOUT,0,,0,,0,,0,3067-01-01T00:00:00Z,6
vehicledef_CHEVALIER_BAP,9,,8,,8,,7,,4
vehicledef_STRIKER_SRM,4,,8,,4,,3,,4
vehicledef_SALADIN_ARMOR,9,,8,,8,,5,,2
vehicledef_SALADIN,38,,40,,36,,36,,14
vehicledef_HUNTER_LRM15,4,,4,,4,,3,,6
vehicledef_PLAINSMAN,0,3039-01-01T00:00:00Z,16,,20,,21,,14
vehicledef_STRIKER_LRM,4,,8,,4,,3,,4
vehicledef_YELLOWJACKET_ARROWIV,0,,0,,0,,0,3067-01-01T00:00:00Z,2
vehicledef_CHEVALIER_SPEED,0,,0,,0,3050-01-01T00:00:00Z,7,,4
vehicledef_CAVALRY_INFANTRY,0,,0,,0,,0,3062-01-01T00:00:00Z,2
vehicledef_PEGASUS,77,,52,,24,,22,,18
vehicledef_HUNTER_LRM10,4,,4,,4,,3,,6
vehicledef_HUNTER,17,,24,,20,,19,,14
vehicledef_GALLEON_GAL-102,0,,0,3049-01-01T00:00:00Z,4,,15,,18
vehicledef_CHEVALIER,30,,28,,32,,27,,18
vehicledef_SARACEN,34,,48,,16,,21,,20
vehicledef_HUNTER_AMMO,4,,4,,4,,2,,4
vehicledef_PEGASUS_MISSILE,9,,4,,4,,2,,4
vehicledef_STRIKER_AMMO,0,,0,,0,3055-01-01T00:00:00Z,2,,2
vehicledef_SCIMITAR_MISSILE,4,,4,,4,,2,,2
vehicledef_PINTO,0,,0,,0,3055-01-01T00:00:00Z,29,,40
vehicledef_SALADIN_LBX,0,,0,,0,,0,3060-01-01T00:00:00Z,8
vehicledef_YELLOWJACKET,0,,0,,0,3058-01-01T00:00:00Z,19,,26
vehicledef_YELLOWJACKET_RAC,0,,0,,0,,0,3065-01-01T00:00:00Z,6
vehicledef_YELLOWJACKET_AMMO,0,,0,,0,3058-01-01T00:00:00Z,2,,4
vehicledef_SALADIN_ULTRA,0,,0,,0,,0,3063-01-01T00:00:00Z,4
Mediums,,,,,,,,,
vehicledef_VEDETTE_AC2,93,,90,,28,,32,,20
vehicledef_THOR_C3i,0,,0,,0,,0,3067-01-01T00:00:00Z,20
vehicledef_VEDETTE,257,,249,,83,,68,,40
vehicledef_HETZER_LASER,4,,4,,6,,4,,3
vehicledef_BALLISTA,31,,30,,28,,28,,34
vehicledef_HETZER_AC10,4,,4,,6,,4,,3
vehicledef_HETZER_SCOUT,4,,4,,6,,4,,3
vehicledef_VEDETTE_NETC,0,,0,,0,3056-01-01T00:00:00Z,12,,20
vehicledef_GOBLIN,0,,0,3049-01-01T00:00:00Z,33,,36,,30
vehicledef_HETZER,27,,26,,33,,24,,20
vehicledef_THOR,31,,30,,39,,40,,27
vehicledef_HETZER_SRM,4,,4,,6,,4,,3
vehicledef_CONDOR,31,,30,,39,,40,,20
vehicledef_GOBLIN_LRM,0,,0,3049-01-01T00:00:00Z,6,,4,,3
vehicledef_HETZER_LRM,4,,4,,6,,4,,3
vehicledef_TURHAN,88,,86,,110,,80,,67
vehicledef_FALCON,13,,13,,17,,20,,23
vehicledef_PROWLER_SEALED,9,,9,,11,,8,,10
vehicledef_MAXIM_SRM4,9,,9,,11,,8,,7
vehicledef_HAWK_LTV-4,13,,13,,28,,20,,23
vehicledef_VEDETTE_RAC,0,,0,,0,,0,3067-01-01T00:00:00Z,10
vehicledef_MAXIM_AP,0,,0,,0,3055-01-01T00:00:00Z,8,,7
vehicledef_PROWLER,31,,30,,33,,32,,37
vehicledef_KANGA,22,,21,,28,,28,,0
vehicledef_MAXIM_SRM2,9,,9,,11,,8,,7
vehicledef_MAXIM,71,,69,,88,,48,,17
vehicledef_MAXIM_I,0,,0,,0,,0,3060-01-01T00:00:00Z,67
vehicledef_MAXIM_C3S,0,,0,,0,,0,3067-01-01T00:00:00Z,7
vehicledef_PROWLER_ECM,0,,0,3049-01-01T00:00:00Z,6,,4,,10
vehicledef_GOBLIN_IS,0,,0,,0,3055-01-01T00:00:00Z,40,,94
vehicledef_MAXIM_3052,0,,0,,0,3055-01-01T00:00:00Z,8,,3
vehicledef_MAXIM_BA,0,,0,,0,3055-01-01T00:00:00Z,12,,10
vehicledef_PROWLER_SUPPORT,9,,9,,11,,8,,10
vehicledef_CHAPARRAL_MG,0,,0,,0,,0,3061-01-01T00:00:00Z,10
vehicledef_CHAPARRAL,62,,60,,77,,80,,44
vehicledef_MAXIM_BAv2,0,,0,,0,3058-01-01T00:00:00Z,8,,7
vehicledef_CHAPARRAL_SRM,0,,0,,0,,0,3060-01-01T00:00:00Z,10
vehicledef_MAXIM_FS,0,,0,,0,3053-01-01T00:00:00Z,8,,7
vehicledef_ZEPHYR,173,,167,,215,,225,,188
vehicledef_DRILLSON_SRM,0,3039-01-01T00:00:00Z,4,,6,,12,,17
vehicledef_DRILLSON,0,3039-01-01T00:00:00Z,26,,33,,28,,30
vehicledef_CONDOR_LASER,0,,0,,0,,0,3060-01-01T00:00:00Z,20
vehicledef_CONDOR_3068,0,,0,,0,,0,3067-01-01T00:00:00Z,7
Heavies,,,,,,,,,
vehicledef_HI-SCOUT,10,,10,,14,,14,,15
vehicledef_CARRIER_AC2,20,,20,,21,,21,,8
vehicledef_CARRIER_LBX,0,,0,,0,,0,3062-01-01T00:00:00Z,15
vehicledef_BULLDOG_AC2,20,,20,,14,,14,,8
vehicledef_CARRIER_LASER,31,,30,,28,,28,,23
vehicledef_THUMPER,112,,80,,56,,42,,30
vehicledef_BULLDOG,41,,40,,28,,28,,15
vehicledef_PIKE,61,,60,,56,,56,,30
vehicledef_MARKSMAN,10,,0,,0,,0,,0
vehicledef_BULLDOG_LRM,20,,20,,14,,14,,8
vehicledef_CARRIER_MRM,0,,0,,0,,0,3062-01-01T00:00:00Z,45
vehicledef_CARRIER_SRM_3054,0,,0,,0,3055-01-01T00:00:00Z,14,,15
vehicledef_CARRIER_LRM_3055,0,,0,,0,3058-01-01T00:00:00Z,35,,91
vehicledef_MAGI,41,,40,,42,,42,,45
vehicledef_BURKE,82,,80,,77,,77,,53
vehicledef_CARRIER_SRM,112,,110,,113,,63,,53
vehicledef_CARRIER_LRM,112,,110,,113,,77,,30
vehicledef_BURKE_HPPC,0,,0,,0,,0,3067-01-01T00:00:00Z,38
vehicledef_CARRIER_SRM_C3,0,,0,,0,,0,3064-01-01T00:00:00Z,15
vehicledef_ZHUKOV,0,,0,,0,3055-01-01T00:00:00Z,42,,45
vehicledef_BRUTUS_PPCv2,0,,0,3049-01-01T00:00:00Z,7,,7,,8
vehicledef_MANTICORE,163,,160,,162,,161,,121
vehicledef_DEMON,92,,90,,92,,91,,98
vehicledef_VONLUCKNER_VNL-K65N,10,,60,,56,,56,,61
vehicledef_BRUTUS,0,,0,3049-01-01T00:00:00Z,14,,14,,15
vehicledef_PADILLA,31,,30,,28,,28,,30
vehicledef_BRUTUS_PPC,0,,0,3049-01-01T00:00:00Z,7,,7,,8
vehicledef_BRUTUS_LRM,0,,0,3049-01-01T00:00:00Z,7,,7,,8
vehicledef_DEMON_ROYAL,20,,20,,21,,21,,23
Assaults,,,,,,,,,
vehicledef_PARTISAN_AC2,20,,20,,10,,17,,9
vehicledef_PARTISAN,129,,129,,69,,117,,56
vehicledef_LONGTOM-LT-MOB-25F,0,,0,3040-01-01T00:00:00Z,7,,7,,8
vehicledef_SCHREK_AC,30,,30,,30,,33,,23
vehicledef_LONGTOM-LT-MOB-25,10,,20,,21,,35,,38
vehicledef_PARTISAN_REFIT,0,,0,,0,3058-01-01T00:00:00Z,8,,9
vehicledef_SCHREK_MG,10,,10,,10,,8,,5
vehicledef_DEMOLISHER_MG,10,,10,,10,,8,,5
vehicledef_PARTISAN_AD,0,,0,,0,3058-01-01T00:00:00Z,25,,85
vehicledef_SCHREK,59,,59,,59,,50,,56
vehicledef_ONTOS,0,,0,3049-01-01T00:00:00Z,30,,25,,9
vehicledef_DEMOLISHER,69,,69,,79,,50,,28
vehicledef_PARTISAN_LRM,20,,20,,10,,17,,9
vehicledef_DEVASTATOR,40,,40,,40,,33,,33
vehicledef_BEHEMOTH_FLAMER,10,,10,,10,,8,,5
vehicledef_BEHEMOTH,69,,69,,69,,67,,28
vehicledef_ONTOS_3053,0,,0,,0,3052-01-01T00:00:00Z,17,,23
vehicledef_ONTOS_LGAUSS,0,,0,,0,,0,3064-01-01T00:00:00Z,9
vehicledef_DEMOLISHER_ARROWIV,0,,0,,0,,0,3061-01-01T00:00:00Z,9
vehicledef_FURY_CX-17,0,,0,,0,3051-01-01T00:00:00Z,42,,61
vehicledef_MORRIGU_LASER,0,,0,,0,,0,3067-01-01T00:00:00Z,5
vehicledef_BEHEMOTH_KURITA,0,,0,,0,,0,3061-01-01T00:00:00Z,9
vehicledef_PUMA_PAT-005,168,,168,,178,,167,,174
vehicledef_BEHEMOTH_ARMOR,10,,10,,10,,8,,5
vehicledef_RHINO_FLAMER,50,,50,,59,,33,,28
vehicledef_RHINO_MG,50,,50,,59,,33,,28
vehicledef_RHINO,109,,109,,109,,75,,56
vehicledef_RHINO_SL,30,,30,,30,,17,,14
vehicledef_DEMOLISHER_GAUSS,0,,0,,0,3052-01-01T00:00:00Z,25,,42
vehicledef_MORRIGU,0,,0,,0,,0,3067-01-01T00:00:00Z,19
vehicledef_AJAX-B,0,,0,,0,,0,3067-01-01T00:00:00Z,5
vehicledef_AJAX-PRIME,0,,0,,0,,0,3067-01-01T00:00:00Z,19
vehicledef_ALACORN_MK-VI,119,,119,,129,,117,,99
vehicledef_AJAX-C,0,,0,,0,,0,3067-01-01T00:00:00Z,5
vehicledef_AJAX-A,0,,0,,0,,0,3067-01-01T00:00:00Z,5
vehicledef_ALACORN_MK-VII,0,,0,,0,,0,3062-01-01T00:00:00Z,23
