ComStarVehicles,,,,,,,,,,,
,,,,,,,,,,,
Collection:SLRoyalVehicles,166,,166,,127,,111,,96,,83
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3050-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3067-01-01T00:00:00Z
Lights,,,,,,,,,,,
vehicledef_TRUCK_Flatbed,18,,18,,29,,28,,35,,49
vehicledef_SPRINT_TRANSPORT,0,,0,,0,3056-01-01T00:00:00Z,10,,21,,33
vehicledef_SPRINT_C3,0,,0,,0,3057-01-01T00:00:00Z,13,,23,,37
vehicledef_SPRINT,0,,0,,0,3055-01-01T00:00:00Z,65,,118,,184
vehicledef_PEREGRINE_CARGO,0,3036-01-01T00:00:00Z,1,,1,,1,,0,,0
vehicledef_KESTREL,0,,0,3049-01-01T00:00:00Z,1,,1,,2,,3
vehicledef_RIPPER_SPL,0,,0,,0,,0,3059-01-01T00:00:00Z,31,,51
vehicledef_KESTREL_SL,0,,0,3049-01-01T00:00:00Z,1,,1,,2,,4
vehicledef_HOVERSCOUT,3,,3,,4,,4,,5,,7
vehicledef_KESTREL_SRM,0,,0,3049-01-01T00:00:00Z,1,,2,,4,,5
vehicledef_GABRIEL,49,,52,,83,,97,,88,,128
vehicledef_APC_HeavyTracked,12,,12,,19,,18,,23,,33
vehicledef_SPRINT_LASER,0,,0,,0,3056-01-01T00:00:00Z,15,,33,,52
vehicledef_KARNOV_ARTILLERY,0,3039-01-01T00:00:00Z,1,,2,,1,,2,,2
vehicledef_KESTREL_ML,0,,0,3049-01-01T00:00:00Z,2,,3,,5,,7
vehicledef_WARRIOR_H-7A,2,,2,,4,,3,,5,,4
vehicledef_PACKRAT_ICE,2,,2,,3,,2,,2,,2
vehicledef_WARRIOR_H-7,3,,3,,5,,5,,7,,6
vehicledef_SCORPION,26,,26,,29,,20,,14,,13
vehicledef_GALLEON,13,,13,,17,,11,,13,,13
vehicledef_SKULKER,4,,4,,4,,4,,5,,7
vehicledef_PEGASUS_UA,2,,1,,1,,1,,1,,2
vehicledef_MOBILEHQ,1,,1,,3,,4,,6,,12
vehicledef_SCORPION_ML,6,,6,,7,,5,,5,,7
vehicledef_BEAGLE,44,,33,,0,,0,,0,,201
vehicledef_NIGHTSHADE_ARMOR,1,,1,,1,,0,,0,,0
vehicledef_PACKRAT_PKR-T5,8,,9,,14,,14,,17,,26
vehicledef_PEREGRINE,9,,3,,2,,2,,0,,0
vehicledef_GALLEON_GAL200,0,,0,3049-01-01T00:00:00Z,2,,2,,3,,4
vehicledef_RIPPER,78,,83,,131,,153,,175,,203
vehicledef_HARASSER_Mini-Peggy,0,,0,3049-01-01T00:00:00Z,1,,1,,1,,2
vehicledef_HARASSER_FLAMER,0,,0,3049-01-01T00:00:00Z,1,,1,,2,,3
vehicledef_NIGHTSHADE,50,,52,,83,,0,,0,,0
vehicledef_SCORPION_SRM,13,,13,,14,,10,,10,,13
vehicledef_SCORPION_MRM,0,,0,,0,,0,3060-01-01T00:00:00Z,24,,108
vehicledef_ROTUNDA,35,,37,,58,,68,,62,,80
vehicledef_HARASSER,0,,0,3049-01-01T00:00:00Z,11,,11,,14,,8
vehicledef_SCORPION_LRM,6,,6,,7,,5,,5,,7
vehicledef_JEdgar_ICE,1,,1,,1,,1,,1,,1
vehicledef_MANTIS,0,,0,,0,,0,,0,3062-01-01T00:00:00Z,101
vehicledef_WARRIOR_H-7C,1,,1,,2,,2,,2,,3
vehicledef_CYRANO,140,,147,,234,,273,,248,,319
vehicledef_JEdgar_Flamer,1,,1,,1,,1,,1,,1
vehicledef_JEdgar_MG,1,,1,,1,,1,,1,,1
vehicledef_CAVALRY_LRM,0,,0,,0,3055-01-01T00:00:00Z,1,,2,,2
vehicledef_HAWKMOTH,0,,0,,0,,0,3061-01-01T00:00:00Z,16,,134
vehicledef_CAVALRY_TAG,0,,0,,0,,0,3059-01-01T00:00:00Z,12,,11
vehicledef_KARNOV_BA,0,,0,,0,,0,,0,3063-01-01T00:00:00Z,55
vehicledef_HAWKMOTH_ARMOR,0,,0,,0,,0,3061-01-01T00:00:00Z,8,,67
vehicledef_CAVALRY,0,,0,,0,3055-01-01T00:00:00Z,3,,4,,4
vehicledef_CAVALRY_SRM,0,,0,,0,3055-01-01T00:00:00Z,1,,1,,1
vehicledef_LIGHTNING,125,,131,,0,,0,,0,,50
vehicledef_SCIMITAR,11,,16,,9,,6,,8,,8
vehicledef_JEdgar,3,,3,,3,,2,,2,,2
vehicledef_JEdgar_TAG,0,,0,,0,3053-01-01T00:00:00Z,18,,25,,23
vehicledef_PEREGRINE_KURITA,0,,0,3049-01-01T00:00:00Z,1,,1,,0,,0
vehicledef_STRIKER,4,,5,,4,,4,,3,,3
vehicledef_PEGASUS_SENSORS,3,,2,,1,,1,,1,,2
vehicledef_PLAINSMAN_SCOUT,0,,0,,0,,0,,0,3067-01-01T00:00:00Z,32
vehicledef_CHEVALIER_BAP,28,,29,,39,,46,,29,,38
vehicledef_STRIKER_SRM,1,,2,,2,,1,,2,,1
vehicledef_SALADIN_ARMOR,4,,3,,2,,2,,1,,1
vehicledef_SALADIN,15,,16,,13,,12,,9,,6
vehicledef_HUNTER_LRM15,1,,2,,1,,1,,2,,2
vehicledef_PLAINSMAN,0,3039-01-01T00:00:00Z,5,,7,,7,,9,,7
vehicledef_STRIKER_LRM,1,,2,,2,,1,,2,,1
vehicledef_YELLOWJACKET_ARROWIV,0,,0,,0,,0,,0,3067-01-01T00:00:00Z,17
vehicledef_CHEVALIER_SPEED,0,,0,,0,3051-01-01T00:00:00Z,46,,29,,38
vehicledef_CAVALRY_INFANTRY,0,,0,,0,,0,,0,3063-01-01T00:00:00Z,7
vehicledef_PEGASUS,23,,16,,6,,6,,7,,10
vehicledef_HUNTER_LRM10,1,,2,,1,,1,,2,,2
vehicledef_HUNTER,7,,9,,7,,7,,8,,7
vehicledef_GALLEON_GAL102,0,,0,3049-01-01T00:00:00Z,35,,110,,127,,164
vehicledef_CHEVALIER,112,,118,,156,,182,,117,,151
vehicledef_SARACEN,9,,13,,7,,10,,12,,12
vehicledef_HUNTER_AMMO,1,,1,,1,,1,,1,,2
vehicledef_PEGASUS_MISSILE,2,,1,,1,,1,,1,,2
vehicledef_STRIKER_AMMO,0,,0,,0,3055-01-01T00:00:00Z,9,,7,,11
vehicledef_SCIMITAR_MISSILE,1,,2,,1,,1,,1,,1
vehicledef_PINTO,0,,0,,0,3055-01-01T00:00:00Z,108,,312,,402
vehicledef_SALADIN_LBX,0,,0,,0,,0,3061-01-01T00:00:00Z,14,,52
vehicledef_YELLOWJACKET,0,,0,,0,,0,3058-01-01T00:00:00Z,227,,268
vehicledef_YELLOWJACKET_RAC,0,,0,,0,,0,,0,3066-01-01T00:00:00Z,67
vehicledef_YELLOWJACKET_AMMO,0,,0,,0,,0,3058-01-01T00:00:00Z,28,,34
vehicledef_SALADIN_ULTRA,0,,0,,0,,0,,0,3064-01-01T00:00:00Z,37
Mediums,,,,,,,,,,,
vehicledef_VEDETTE_AC2,27,,27,,5,,8,,7,,4
vehicledef_THOR_C3i,0,,0,,0,,0,,0,3066-01-01T00:00:00Z,25
vehicledef_VEDETTE,76,,76,,15,,16,,14,,8
vehicledef_HETZER_LASER,1,,1,,1,,1,,1,,1
vehicledef_HETZER_AC10,1,,1,,1,,1,,1,,1
