WolfVehicles,,,,,,,,,
Collection:DiamondSharkVehicles,2,,1,,0,,0,,0
Collection:GhostBearVehicles,4,,4,,17,,32,,32
Collection:JadeFalconVehicles,20,,13,,47,,82,,97
Collection:NovaCatVehicles,4,,4,,10,,7,,3
Collection:SmokeJaguarVehicles,8,,5,,4,,0,,0
Collection:SteelViperVehicles,9,,6,,10,,7,,3
Salvage:SteinerVehicles,0,,27,,77,,8,,10
Salvage:DavionVehicles,0,,9,,17,,0,,0
Salvage:RasalhagueVehicles,0,,2,,10,,7,,3
,,,,,,,,,
Dates,3049-01-01T00:00:00Z,,3053-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z,,3065-01-01T00:00:00Z
Lights,,,,,,,,,
vehicledef_TRUCK_Flatbed,16,,16,,16,,20,,56
vehicledef_KESTREL_CLAN,12,,12,,8,,7,,20
vehicledef_APC_HeavyTracked,15,,15,,15,,19,,53
vehicledef_MAULTIER,38,,38,,37,,45,,128
vehicledef_RIPPER_ROYAL,9,,9,,9,,15,,43
vehicledef_GALLEON,22,,22,,22,,32,,89
vehicledef_RIPPER,18,,18,,17,,30,,85
vehicledef_NIGHTSHADE,30,,30,,29,,36,,102
vehicledef_BADGER_C-E,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_BADGER_C-A,1,,1,,1,,1,,1
vehicledef_SHAMASH,12,,12,,12,,14,,40
vehicledef_BADGER_C-D,1,,1,,1,,1,,1
vehicledef_LIGHTNING,56,,56,,55,,68,,192
vehicledef_BADGER_C-H,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_BADGER_C-C,1,,1,,1,,1,,1
vehicledef_BADGER_C-B,1,,1,,1,,1,,1
vehicledef_ZORYA,38,,38,,38,,65,,183
vehicledef_ZORYA_AMMO,10,,10,,10,,16,,46
vehicledef_BADGER_C-PRIME,1,,1,,1,,1,,2
vehicledef_NIGHTSHADE_ROYAL,30,,30,,29,,36,,102
vehicledef_LIGHTNING_ROYAL,113,,113,,111,,135,,383
vehicledef_MITHRAS,17,,17,,17,,14,,40
vehicledef_SARACEN,11,,11,,11,,14,,39
vehicledef_ODIN,12,,12,,12,,14,,40
vehicledef_SVANTOVIT,4,,4,,4,,4,,10
vehicledef_ANHUR,17,,17,,17,,20,,57
vehicledef_CYRANO_ROYAL,4,,4,,3,,4,,6
vehicledef_SVANTOVIT_ORIGINAL,1,,1,,1,,1,,3
vehicledef_INDRA,12,,12,,12,,14,,40
vehicledef_DONAR,24,,24,,24,,29,,81
vehicledef_ASSHUR,8,,8,,8,,10,,29
vehicledef_ASSHUR_RECON,27,,27,,27,,32,,91
Mediums,,,,,,,,,
vehicledef_ZEPHYR_ROYAL,138,,300,,85,,161,,456
vehicledef_THOR_CLAN,19,,40,,12,,19,,54
vehicledef_BANDIT_C-E,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_BANDIT_C-PRIME,1,,3,,1,,1,,2
vehicledef_KU,16,,36,,8,,13,,38
vehicledef_BANDIT_C-D,1,,2,,1,,1,,1
vehicledef_BANDIT_C-A,1,,2,,1,,1,,1
vehicledef_APC_Maxim_Clan,0,,0,,0,3059-01-01T00:00:00Z,13,,38
vehicledef_ARES,47,,102,,34,,54,,153
vehicledef_BANDIT_C-B,1,,2,,1,,1,,1
vehicledef_BANDIT_C-H,0,,0,,0,,0,3062-01-01T00:00:00Z,1
vehicledef_BANDIT_C-C,1,,2,,1,,1,,1
vehicledef_EPONA-B,0,,0,,0,Jump:3060-01-01T00:00:00Z,1,,2
vehicledef_EPONA-PRIME,0,,0,,0,Jump:3060-01-01T00:00:00Z,2,,5
vehicledef_HACHIMAN,23,,51,,12,,19,,54
vehicledef_EPONA-C,0,,0,,0,Jump:3060-01-01T00:00:00Z,1,,2
vehicledef_EPONA-A,0,,0,,0,Jump:3060-01-01T00:00:00Z,1,,3
Heavies,,,,,,,,,
vehicledef_RECOVERY_HeavyMech,17,,37,,8,,4,,11
vehicledef_CARRIER_SRM,12,,26,,6,,3,,8
vehicledef_CARRIER_LRM,6,,13,,3,,2,,4
vehicledef_PIKE_CLAN,0,,0,3055-01-01T00:00:00Z,6,,4,,10
vehicledef_DEMON,68,,148,,36,,21,,52
vehicledef_ORO,35,,77,,16,,8,,19
vehicledef_KOKOU,12,,27,,6,,3,,7
vehicledef_DEMON_ROYAL,48,,105,,26,,10,,26
vehicledef_ISHTAR,12,,27,,6,,3,,7
vehicledef_ATHENA,18,,38,,8,,4,,10
Assaults,,,,,,,,,
vehicledef_HUITZILOPOCHTLI,25,,55,,13,,6,,14
vehicledef_FURY_ROYAL,31,,68,,16,,8,,21
vehicledef_PUMA_PAT-005,5,,10,,2,,1,,3
vehicledef_RHINO_MG,31,,66,,16,,8,,18
vehicledef_RHINO,11,,24,,6,,2,,5
vehicledef_PUMA_PAT-005b,49,,107,,26,,15,,38
vehicledef_DEMOLISHER_CLAN,0,,0,,0,3058-01-01T00:00:00Z,6,,13
vehicledef_RHINO_ROYAL,30,,64,,15,,7,,17
vehicledef_MARS_ATM,0,,0,,0,,0,3065-01-01T00:00:00Z,8
vehicledef_MARS,73,,160,,38,,14,,30
