Andurien,,,,,,,
Salvage:LiaoLocals,20,,15,,10,,10
Salvage:DavionLocals,0,,5,,10,,10
Salvage:SteinerLocals,25,,25,,25,,20
Dates,3030-01-01T00:00:00Z,,3034-01-01T00:00:00Z,,3037-01-01T00:00:00Z,,3040-01-01T00:00:00Z
Lights,,,,,,,
mechdef_patron_PTN-1,3,,1,,1,,1
mechdef_patron_PTN,20,,7,,5,,4
mechdef_stinger_STG-3R,164,,59,,41,,32
mechdef_wasp_WSP-1A,291,,104,,72,,57
mechdef_locust_LCT-1V,149,,53,,37,,27
mechdef_locust_LCT-3V,26,,9,,7,,7
mechdef_stinger_STG-3G,41,,15,,10,,8
mechdef_urbanmech_UM-R60,14,,5,,4,,3
mechdef_locust_LCT-1E,37,,13,,9,,10
mechdef_javelin_JVN-10N,32,,12,,8,,6
mechdef_ostscout_OTT-7J,36,,13,,9,,5
mechdef_spider_SDR-5V,65,,23,,16,,13
mechdef_firestarter_FS9-H,103,,37,,26,,20
mechdef_wasp_WSP-105,31,,11,,8,,6
mechdef_javelin_JVN-10F,4,,1,,1,,1
mechdef_jenner_JR7-D,23,,8,,6,,5
mechdef_wasp_WSP-105M,11,,4,,3,,2
mechdef_stinger_STG-A5,32,,12,,8,,6
Mediums,,,,,,,
mechdef_vulcan_VL-2T,44,,16,,11,,8
mechdef_cicada_CDA-2A,19,,7,,5,,5
mechdef_assassin_ASN-21,39,,14,,10,,7
mechdef_clint_CLNT-2-3T,27,,10,,7,,5
mechdef_hermesII_HER-2S,66,,24,,17,,12
mechdef_hermesII_HER-2M,4,,1,,1,,1
mechdef_vulcan_VL-5T,5,,2,,1,,1
mechdef_centurion_CN9-A,16,,6,,4,,3
mechdef_centurion_CN9-AH,3,,1,,1,,1
mechdef_blackjack_BJ-1,19,,7,,5,,4
mechdef_hermesII_HER-4K,6,,2,,1,,1
mechdef_whitworth_WTH-1,19,,7,,5,,4
mechdef_trebuchet_TBT-5S,19,,7,,5,,3
mechdef_wyvern_WVE-6N,24,,9,,6,,4
mechdef_scorpion_SCP-1N,14,,5,,3,,0
mechdef_hunchback_HBK-4G,68,,24,,17,,11
mechdef_phoenixhawk_PXH-1,175,,62,,44,,24
mechdef_hunchback_HBK-4SP,8,,3,,2,,1
mechdef_centurion_CN9-AL,3,,1,,1,,1
mechdef_shadowhawk_SHD-2H,78,,28,,19,,11
mechdef_hunchback_HBK-4H,8,,3,,2,,1
mechdef_hunchback_HBK-4N,8,,3,,2,,1
mechdef_wolverine_WVR-6R,41,,15,,10,,7
mechdef_hunchback_HBK-4P,12,,4,,3,,2
mechdef_crab_CRB-20,14,,5,,3,,3
mechdef_hunchback_HBK-4J,8,,3,,2,,1
mechdef_dervish_DV-6M,39,,14,,10,,7
mechdef_trebuchet_TBT-5J,7,,2,,2,,1
mechdef_trebuchet_TBT-5N,39,,14,,10,,6
mechdef_griffin_GRF-1N,220,,78,,55,,40
mechdef_wolverine_WVR-6M,29,,10,,7,,5
Heavies,,,,,,,
mechdef_rifleman_RFL-3N,73,,26,,25,,25
mechdef_champion_CHP-2N,13,,5,,5,,5
mechdef_quickdraw_QKD-4G,48,,17,,17,,17
mechdef_quickdraw_QKD-5A,12,,4,,4,,4
mechdef_ostroc_OSR-2C,16,,6,,6,,6
mechdef_ostroc_OSR-2L,6,,2,,2,,2
mechdef_ostroc_OSR-2M,5,,2,,2,,2
mechdef_quickdraw_QKD-4H,12,,4,,4,,4
mechdef_ostsol_OTL-4D,51,,18,,18,,18
mechdef_ostroc_OSR-3C,6,,2,,2,,2
mechdef_orion_ON1-V,14,,5,,5,,5
mechdef_warhammer_WHM-6R,145,,52,,51,,41
mechdef_orion_ON1-V-DC,5,,2,,2,,2
mechdef_crusader_CRD-3R,145,,52,,51,,52
mechdef_orion_ON1-VA,10,,3,,3,,3
mechdef_marauder_MAD-3M,2,,1,,1,,1
mechdef_thunderbolt_TDR-5S,145,,52,,51,,45
mechdef_marauder_MAD-3R,20,,7,,7,,7
mechdef_guillotine_GLT-4P,1,,1,,1,,1
mechdef_catapult_CPLT-C1,18,,6,,6,,9
mechdef_guillotine_GLT-4L,23,,8,,8,,8
mechdef_grasshopper_GHR-5H,73,,26,,25,,23
mechdef_orion_ON1-K,78,,28,,27,,27
mechdef_stalker_STK-4P,14,,5,,5,,5
mechdef_archer_ARC-2R,145,,52,,51,,41
mechdef_grasshopper_GHR-5N,0,,0,,0,3040-01-01T00:00:00Z,2
Assaults,,,,,,,
mechdef_charger_CGR-1A1,9,,3,,2,,3
mechdef_cyclops_CP-10-HQ,4,,1,,1,,1
mechdef_cyclops_CP-10-Z,31,,11,,9,,8
mechdef_longbow_LGB-0W,119,,42,,33,,35
mechdef_victor_VTR-9B,56,,20,,16,,16
mechdef_banshee_BNC-3Q,3,,1,,1,,1
mechdef_longbow_LGB-0W2,15,,5,,4,,4
mechdef_banshee_BNC-3E,29,,10,,8,,8
mechdef_goliath_GOL-1H,28,,10,,8,,7
mechdef_awesome_AWS-8R,30,,11,,8,,9
mechdef_battlemaster_BLR-1G-DC,12,,4,,3,,3
mechdef_thug_THG-10E,10,,4,,3,,3
mechdef_awesome_AWS-8V,15,,5,,4,,4
mechdef_battlemaster_BLR-1G,99,,35,,28,,24
mechdef_stalker_STK-4N,30,,11,,8,,9
mechdef_stalker_STK-3F,240,,85,,67,,70
mechdef_cyclops_CP-10-Q,6,,2,,2,,1
mechdef_awesome_AWS-8T,21,,8,,6,,6
mechdef_banshee_BNC-3M,2,,1,,1,,1
mechdef_awesome_AWS-8Q,169,,60,,47,,50
mechdef_longbow_LGB-7Q,59,,21,,17,,17
mechdef_stalker_STK-3H,30,,11,,8,,9
mechdef_longbow_LGB-8C,30,,11,,8,,9
mechdef_banshee_BNC-3S,0,,0,,0,3039-01-01T00:00:00Z,1
mechdef_atlas_AS7-A,2,,1,,1,,1
mechdef_atlas_AS7-RS,4,,1,,1,,1
mechdef_atlas_AS7-D-DC,3,,1,,1,,1
mechdef_atlas_AS7-D,30,,11,,8,,9
