GeneralVehicles,,,
,,,
Salvage:DavionVehicles,20,,20
Salvage:KuritaVehicles,20,,20
Salvage:LiaoVehicles,20,,20
Salvage:MarikVehicles,20,,20
Salvage:SteinerVehicles,20,,20
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z
Lights,,,
vehicledef_FERRET,26,,38
vehicledef_FERRET_ARMOR,9,,15
vehicledef_GALLEON,35,,30
vehicledef_KARNOV,17,,15
vehicledef_WARRIOR_H-7A,17,,15
vehicledef_WARRIOR_H-7,35,,30
vehicledef_SCORPION,173,,151
vehicledef_SKULKER,17,,15
vehicledef_SCORPION_ML,17,,15
vehicledef_HARASSER_LASER,14,,12
vehicledef_PACKRAT_PKR-T5,26,,23
vehicledef_SCORPION_SRM,52,,45
vehicledef_HARASSER_LRM,12,,11
vehicledef_HARASSER,35,,30
vehicledef_SCORPION_LRM,17,,15
vehicledef_JEdgar_ICE,7,,6
vehicledef_JEdgar_Flamer,3,,3
vehicledef_WARRIOR_H-7C,9,,8
vehicledef_JEdgar_MG,3,,3
vehicledef_PEREGRINE,35,,30
vehicledef_SCIMITAR,32,,50
vehicledef_JEdgar,21,,18
vehicledef_STRIKER,19,,17
vehicledef_STRIKER_SRM,3,,3
vehicledef_SALADIN,61,,76
vehicledef_HUNTER_LRM15,3,,8
vehicledef_STRIKER_LRM,3,,3
vehicledef_PEGASUS,122,,105
vehicledef_HUNTER_LRM10,3,,8
vehicledef_HUNTER,28,,38
vehicledef_SARACEN,35,,53
vehicledef_PACKRAT,0,3026-01-01T00:00:00Z,3
vehicledef_PEGASUS_MG,4,,4
vehicledef_PEGASUS_MISSILE,4,,4
vehicledef_ROTUNDA,0,3026-01-01T00:00:00Z,3
vehicledef_SCIMITAR_MISSILE,3,,3
Mediums,,,
vehicledef_VEDETTE_AC2,56,,52
vehicledef_VEDETTE,506,,473
vehicledef_HETZER_LASER,11,,10
vehicledef_GOBLIN,34,,31
vehicledef_HETZER,128,,119
vehicledef_HETZER_SRM,11,,10
vehicledef_CONDOR,34,,31
vehicledef_HETZER_LRM,11,,10
vehicledef_MAXIM_SRM4,9,,8
vehicledef_PROWLER_SW,23,,42
vehicledef_MAXIM_SRM2,9,,8
vehicledef_MAXIM,61,,57
vehicledef_DRILLSON_SRM,0,3028-01-01T00:00:00Z,8
vehicledef_DRILLSON,0,3025-01-01T00:00:00Z,34
vehicledef_HETZER_AC10,7,,7
vehicledef_HOVERTANK_LTV-4,3,,3
vehicledef_MERKAVA_VIII,3,,3
vehicledef_PREDATOR,3,,3
Heavies,,,
vehicledef_CARRIER_AC2,26,,25
vehicledef_ZHUKOV,0,3030-01-01T00:00:00Z,25
vehicledef_BULLDOG_AC2,43,,42
vehicledef_CARRIER_LASER,35,,34
vehicledef_BULLDOG,174,,169
vehicledef_PIKE,29,,29
vehicledef_PIKE_AC5,5,,5
vehicledef_BULLDOG_LRM,43,,42
vehicledef_CARRIER_SRM,169,,164
vehicledef_CARRIER_LRM,173,,168
vehicledef_MANTICORE,173,,168
vehicledef_VONLUCKNER_VNL-K65N,26,,25
vehicledef_CARRIER_Inferno,4,,4
vehicledef_GALLANT,3,,3
Assaults,,,
vehicledef_PARTISAN_AC2,16,,16
vehicledef_PARTISAN,153,,153
vehicledef_SCHREK_AC,16,,16
vehicledef_SCHREK,87,,87
vehicledef_DEMOLISHER,178,,158
vehicledef_PARTISAN_LRM,16,,16
vehicledef_DEVASTATOR,53,,53
vehicledef_BEHEMOTH,265,,185
vehicledef_RHINO_FLAMER,11,,11
vehicledef_RHINO_MG,11,,11
vehicledef_RHINO,79,,79
vehicledef_RHINO_SL,5,,5
vehicledef_DEMOLISHER_MG,7,,7
vehicledef_SCHREK_MG,3,,3
