MagistracyVehiclesNC,,,
,,,
Salvage:LiaoVehiclesNC,0,,50
Salvage:MarikVehiclesNC,50,,10
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z
Lights,,,
vehicledef_SKULKER,18,,18
vehicledef_APC_Wheeled,80,,80
vehicledef_APC_Wheeled_LRM,20,,20
vehicledef_APC_Wheeled_MG,60,,60
vehicledef_APC_Wheeled_SRM,40,,40
vehicledef_APC_HeavyWheeled,80,,80
vehicledef_APC_HeavyWheeled_LRM,20,,20
vehicledef_APC_HeavyWheeled_MG,40,,40
vehicledef_APC_HeavyWheeled_SRM,20,,20
vehicledef_HeavyTransport_B1,80,,80
vehicledef_J-27,60,,60
vehicledef_J-27_ARMOR,40,,40
vehicledef_J-27_MG,20,,20
vehicledef_MASHTruck-UA,40,,40
vehicledef_MASHTruck,40,,40
vehicledef_MOBILEHQ,40,,40
vehicledef_MOBILEHQ-ICE,40,,40
vehicledef_MOBILEHQ-ICE_LL,20,,20
vehicledef_MOBILEHQ-ICE_LRM,20,,20
vehicledef_MOBILEHQ_LL,20,,20
vehicledef_MOBILEHQ_LRM,20,,20
vehicledef_PACKRAT_ICE,7,,7
vehicledef_PACKRAT_PKR-T5,20,,20
vehicledef_PEGASUS_UA,13,,13
vehicledef_SWIFTWIND,7,,7
vehicledef_SWIFTWIND_Cargo,7,,7
vehicledef_SWIFTWIND_ICE,7,,7
Mediums,,,
vehicledef_APC_Maxim_SRM4,10,,10
vehicledef_APC_Maxim_SRM2,10,,10
vehicledef_APC_Maxim,64,,64
vehicledef_APC_Sleipnir,80,,80
vehicledef_APC_Sleipnir_LRM,20,,20
vehicledef_APC_Sleipnir_ML,20,,20
vehicledef_APC_Sleipnir_SRM,40,,40
vehicledef_APC_Turhan,20,,20
Heavies,,,
vehicledef_APC_Vargr,80,,80
vehicledef_APC_Vargr_LL,20,,20
vehicledef_APC_Vargr_LRM,20,,20
vehicledef_APC_Vargr_SRM,40,,40
vehicledef_LONGTOM-LT-MOB-25,7,,7
vehicledef_MARKSMAN,3,,3
Assaults,,,
vehicledef_LONGTOM-LT-MOB-25,80,,80
