RasalhagueVehiclesNC,
,
Salvage:DavionVehiclesNC,5
Salvage:SteinerVehiclesNC,45
Dates,3025-01-01T00:00:00Z
Lights,
vehicledef_SKULKER_MG,6
vehicledef_SKULKER,44
vehicledef_SKULKER_SRM,6
vehicledef_APC_Wheeled,80
vehicledef_APC_Wheeled_LRM,20
vehicledef_APC_Wheeled_MG,60
vehicledef_APC_Wheeled_SRM,40
vehicledef_APC_HeavyWheeled,80
vehicledef_APC_HeavyWheeled_LRM,20
vehicledef_APC_HeavyWheeled_MG,20
vehicledef_APC_HeavyWheeled_SRM,40
vehicledef_HeavyTransport_B1,80
vehicledef_J-27,60
vehicledef_J-27_ARMOR,7
vehicledef_J-27_FUSION,3
vehicledef_J-27_MG,7
vehicledef_MASHTruck-UA,40
vehicledef_MASHTruck,20
vehicledef_MOBILEHQ,40
vehicledef_MOBILEHQ-ICE,20
vehicledef_MOBILEHQ-ICE_LL,7
vehicledef_MOBILEHQ-ICE_LRM,20
vehicledef_MOBILEHQ_LL,20
vehicledef_MOBILEHQ_LRM,40
vehicledef_PACKRAT_ICE,7
vehicledef_PACKRAT_PKR-T5,32
vehicledef_PEGASUS_UA,11
Mediums,
vehicledef_APC_Maxim_SRM4,13
vehicledef_APC_Maxim_SRM2,13
vehicledef_APC_Maxim,103
vehicledef_APC_Sleipnir,80
vehicledef_APC_Sleipnir_LRM,20
vehicledef_APC_Sleipnir_ML,20
vehicledef_APC_Sleipnir_SRM,40
vehicledef_APC_Turhan,40
vehicledef_DAIMYOHQ,20
Heavies,
vehicledef_APC_Vargr,80
vehicledef_APC_Vargr_LL,20
vehicledef_APC_Vargr_LRM,20
vehicledef_APC_Vargr_SRM,40
vehicledef_LONGTOM-LT-MOB-25,20
vehicledef_MARKSMAN,7
Assaults,
vehicledef_LONGTOM-LT-MOB-25,80
