RasalhagueVehicles,,,
,,,
,,,
Salvage:DavionVehicles,5,,5
Salvage:SteinerVehicles,45,,45
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z
Lights,,,
vehicledef_GALLEON,52,,52
vehicledef_GALLEON_GAL200,3,,3
vehicledef_KARNOV,11,,11
vehicledef_SKULKER_MG,6,,6
vehicledef_WARRIOR_H-7A,11,,11
vehicledef_WARRIOR_H-7,22,,22
vehicledef_SCORPION,109,,109
vehicledef_SKULKER,44,,44
vehicledef_SKULKER_SRM,6,,6
vehicledef_SCORPION_ML,11,,11
vehicledef_HARASSER_LASER,9,,9
vehicledef_PACKRAT_PKR-T5,39,,39
vehicledef_SCORPION_SRM,33,,33
vehicledef_HARASSER_LRM,8,,8
vehicledef_HARASSER,22,,22
vehicledef_SCORPION_LRM,11,,11
vehicledef_JEdgar_ICE,11,,11
vehicledef_JEdgar_Flamer,6,,6
vehicledef_WARRIOR_H-7C,6,,6
vehicledef_JEdgar_MG,6,,6
vehicledef_PEREGRINE,22,,22
vehicledef_SCIMITAR,103,,103
vehicledef_JEdgar,33,,33
vehicledef_STRIKER,12,,12
vehicledef_STRIKER_SRM,2,,2
vehicledef_SALADIN,99,,99
vehicledef_SALADIN_ARMOR,11,,11
vehicledef_HUNTER_LRM15,6,,6
vehicledef_STRIKER_LRM,2,,2
vehicledef_PEGASUS,102,,102
vehicledef_HUNTER_LRM10,6,,6
vehicledef_HUNTER,28,,28
vehicledef_SARACEN,83,,83
vehicledef_PEGASUS_MG,4,,4
vehicledef_PEGASUS_MISSILE,4,,4
vehicledef_ROTUNDA,0,3026-01-01T00:00:00Z,3
vehicledef_SCIMITAR_MISSILE,7,,7
Mediums,,,
vehicledef_VEDETTE_AC2,64,,59
vehicledef_VEDETTE,577,,527
vehicledef_HETZER_LASER,8,,7
vehicledef_GOBLIN,33,,30
vehicledef_HETZER,64,,92
vehicledef_HETZER_SRM,8,,7
vehicledef_GOBLIN_SRM,5,,5
vehicledef_HETZER_LRM,8,,7
vehicledef_MAXIM_SRM4,13,,12
vehicledef_PROWLER_SW,51,,47
vehicledef_MAXIM_SRM2,13,,12
vehicledef_MAXIM,103,,94
vehicledef_DRILLSON_SRM,0,3028-01-01T00:00:00Z,9
vehicledef_DRILLSON,0,3025-01-01T00:00:00Z,38
vehicledef_HETZER_AC10,3,,4
vehicledef_HOVERTANK_LTV-4,3,,3
Heavies,,,
vehicledef_PO,0,3031-01-01T00:00:00Z,8
vehicledef_CARRIER_AC2,28,,23
vehicledef_BULLDOG_AC2,47,,38
vehicledef_CARRIER_LASER,38,,31
vehicledef_BULLDOG,188,,153
vehicledef_PIKE,32,,26
vehicledef_TOKUGAWA_TKG-151,9,,8
vehicledef_PIKE_AC5,6,,5
vehicledef_TOKUGAWA_TKG-150,57,,46
vehicledef_BULLDOG_LRM,47,,38
vehicledef_CARRIER_SRM,137,,112
vehicledef_CARRIER_LRM,141,,115
vehicledef_AXEL_MK2,0,3036-01-01T00:00:00Z,53
vehicledef_AXEL,0,3036-01-01T00:00:00Z,53
vehicledef_ROMMEL,0,3027-01-01T00:00:00Z,31
vehicledef_PATTON,0,3027-01-01T00:00:00Z,31
vehicledef_MANTICORE,188,,153
vehicledef_VONLUCKNER_VNL-K70,4,,3
vehicledef_VONLUCKNER_VNL-K65N,24,,20
vehicledef_CARRIER_Inferno,4,,3
vehicledef_GALLANT,3,,3
Assaults,,,
vehicledef_PARTISAN_AC2,10,,10
vehicledef_PARTISAN,100,,100
vehicledef_SCHREK_AC,10,,10
vehicledef_SCHREK,57,,57
vehicledef_DEMOLISHER,166,,166
vehicledef_PARTISAN_LRM,10,,10
vehicledef_DEVASTATOR,52,,52
vehicledef_BEHEMOTH,260,,260
vehicledef_STURMFEUR,17,,17
vehicledef_RHINO_FLAMER,52,,52
vehicledef_RHINO_MG,52,,52
vehicledef_RHINO,138,,138
vehicledef_RHINO_SL,17,,17
vehicledef_DEMOLISHER_MG,7,,7
vehicledef_SCHREK_MG,2,,2
