MagistracyOfCanopus,,,,,,,
Salvage:MarikLocals,50,Jump:3033-12-01T00:00:00Z,0,,0,,0
Salvage:LiaoLocals,0,Jump:3033-12-01T00:00:00Z,50,,50,,50
,,,,,,,
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3057-01-01T00:00:00Z,,3061-01-01T00:00:00Z
Lights,,,,,,,
mechdef_stinger_STG-3R,182,,182,,182,,189
mechdef_wasp_WSP-1A,277,,277,,277,,284
mechdef_locust_LCT-1V,182,,182,,182,,189
mechdef_locust_LCT-3V,10,,10,,10,,10
mechdef_stinger_STG-3G,39,,38,,39,,39
mechdef_urbanmech_UM-R60,88,,79,,83,,79
mechdef_javelin_JVN-10N,28,,25,,32,,25
mechdef_ostscout_OTT-7J,10,,9,,14,,10
mechdef_hermes_HER-1A,6,,5,,5,,6
mechdef_falcon_FLC-4N,6,,5,,5,,6
mechdef_spider_SDR-5V,10,,8,,8,,5
mechdef_hermes_HER-1B,6,,5,,5,,5
mechdef_firestarter_FS9-H,88,,79,,79,,86
mechdef_mongoose_MON-67,6,,5,,5,,5
mechdef_firestarter_FS9-K,6,,5,,5,,5
mechdef_javelin_JVN-10F,6,,5,,5,,5
mechdef_javelin_JVN-10A,3,,3,,3,,3
mechdef_stinger_STG-5M,0,,0,3050-01-01T00:00:00Z,9,,10
mechdef_locust_LCT-3M,0,,0,3050-01-01T00:00:00Z,9,,10
mechdef_wasp_WSP-3M,0,,0,3051-01-01T00:00:00Z,8,,10
mechdef_tarantula_ZPH-1,0,,0,3054-01-01T00:00:00Z,5,,10
mechdef_duangung_D9-G9,0,,0,,0,3058-01-01T00:00:00Z,9
Mediums,,,,,,,
mechdef_vulcan_VL-2T,96,,86,,86,,88
mechdef_cicada_CDA-2A,13,,12,,18,,20
mechdef_assassin_ASN-21,6,,5,,5,,7
mechdef_clint_CLNT-2-3T,6,,5,,5,,7
mechdef_vulcan_VL-5T,13,,10,,10,,10
mechdef_centurion_CN9-A,3,,3,,3,,3
mechdef_blackjack_BJ-1,45,,41,,43,,51
mechdef_whitworth_WTH-1,6,,5,,5,,7
mechdef_trebuchet_TBT-5S,6,,5,,5,,7
mechdef_wyvern_WVE-6N,6,,5,,5,,7
mechdef_scorpion_SCP-1N,13,,12,,18,,20
mechdef_phoenixhawk_PXH-1,191,,191,,192,,192
mechdef_hunchback_HBK-4G,45,,41,,43,,51
mechdef_shadowhawk_SHD-2H,192,,192,,192,,192
mechdef_hunchback_HBK-4H,6,,5,,5,,7
mechdef_hunchback_HBK-4N,6,,5,,5,,7
mechdef_wolverine_WVR-6R,96,,86,,86,,88
mechdef_hunchback_HBK-4P,6,,5,,5,,7
mechdef_crab_CRB-20,6,,5,,5,,5
mechdef_hunchback_HBK-4J,6,,5,,5,,7
mechdef_dervish_DV-6M,45,,41,,43,,51
mechdef_trebuchet_TBT-5N,45,,36,,36,,38
mechdef_griffin_GRF-1N,96,,78,,78,,78
mechdef_shadowhawk_SHD-3H,7,,7,,7,,7
mechdef_talos_TLS-1B,3,,3,,3,,3
mechdef_cronus_CNS-3M,0,,0,3050-01-01T00:00:00Z,18,,20
mechdef_hermesii_HER-5S,0,,0,3050-01-01T00:00:00Z,5,,10
mechdef_marshal_MHL-X1,0,,0,,0,3059-01-01T00:00:00Z,10
mechdef_kyudo_KY2-D-01,6,,5,,5,,5
mechdef_rifleman_RFL-2N,76,,68,,69,,94
Heavies,,,,,,,
mechdef_rifleman_RFL-3N,117,,105,,106,,144
mechdef_champion_CHP-2N,6,,5,,6,,6
mechdef_quickdraw_QKD-4G,41,,37,,41,,39
mechdef_quickdraw_QKD-5A,6,,5,,6,,6
mechdef_ostroc_OSR-2C,41,,37,,41,,39
mechdef_ostroc_OSR-2L,6,,5,,6,,6
mechdef_quickdraw_QKD-4H,6,,5,,6,,6
mechdef_ostsol_OTL-4D,88,,70,,70,,70
