KuritaVehiclesNC,,,,,
,,,,,
Salvage:DavionVehiclesNC,25,,30,,30
Salvage:SteinerVehiclesNC,25,,30,,30
Dates,3025-01-01T00:00:00Z,,3039-01-01T00:00:00Z,,3057-01-01T00:00:00Z
Lights,,,,,
vehicledef_SKULKER_MG,6,,6,,6
vehicledef_SKULKER,48,,48,,48
vehicledef_SKULKER_SRM,6,,6,,6
vehicledef_APC_Wheeled,80,,80,,80
vehicledef_APC_Wheeled_LRM,20,,20,,20
vehicledef_APC_Wheeled_MG,60,,60,,60
vehicledef_APC_Wheeled_SRM,40,,40,,40
vehicledef_APC_HeavyWheeled,80,,80,,80
vehicledef_APC_HeavyWheeled_LRM,20,,20,,20
vehicledef_APC_HeavyWheeled_MG,20,,20,,20
vehicledef_APC_HeavyWheeled_SRM,40,,40,,40
vehicledef_HeavyTransport_B1,80,,80,,80
vehicledef_J-27,60,,60,,60
vehicledef_J-27_ARMOR,7,,7,,7
vehicledef_J-27_FUSION,3,,3,,3
vehicledef_J-27_MG,7,,7,,7
vehicledef_MASHTruck-UA,40,,40,,40
vehicledef_MASHTruck,20,,20,,20
vehicledef_MOBILEHQ,40,,40,,40
vehicledef_MOBILEHQ-ICE,20,,20,,20
vehicledef_MOBILEHQ-ICE_LL,7,,7,,7
vehicledef_MOBILEHQ-ICE_LRM,20,,20,,20
vehicledef_MOBILEHQ_LL,20,,20,,20
vehicledef_MOBILEHQ_LRM,40,,40,,40
vehicledef_PACKRAT_ICE,6,,6,,6
vehicledef_PACKRAT_PKR-T5,36,,36,,36
vehicledef_PEGASUS_UA,12,,12,,12
Mediums,,,,,
vehicledef_APC_Maxim_SRM4,13,,13,,13
vehicledef_APC_Maxim_SRM2,13,,13,,13
vehicledef_APC_Maxim,103,,103,,103
vehicledef_APC_Alsvin,0,,0,3048-01-01T00:00:00Z,7
vehicledef_APC_Sleipnir,80,,80,,80
vehicledef_APC_Sleipnir_LRM,20,,20,,20
vehicledef_APC_Sleipnir_ML,20,,20,,20
vehicledef_APC_Sleipnir_SRM,40,,40,,40
vehicledef_APC_Turhan,40,,40,,40
vehicledef_DAIMYOHQ,20,,20,,20
Heavies,,,,,
vehicledef_APC_Arvakr,0,,0,3048-01-01T00:00:00Z,7
vehicledef_APC_Vargr,80,,80,,80
vehicledef_APC_Vargr_LL,20,,20,,20
vehicledef_APC_Vargr_LRM,20,,20,,20
vehicledef_APC_Vargr_SRM,40,,40,,40
vehicledef_LONGTOM-LT-MOB-25,20,,20,,20
vehicledef_MARKSMAN,7,,7,,7
Assaults,,,,,
vehicledef_LONGTOM-LT-MOB-25,80,,80,,80
